Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,2747,52.8%,3.20,42.3%,26.1%,207,12.7,7.7
Male,2453,47.2%,3.12,40.0%,21.3%,213,13.2,8.4
Ethnicity
African Am.,58,1.1%,2.94,29.3%,12.1%,210,12.9,9.2
Asian,1794,34.5%,3.10,41.5%,18.3%,214,13.0,8.1
Mexican Am.,347,6.7%,3.03,36.6%,15.0%,203,13.4,8.3
Filipino,271,5.2%,2.98,35.1%,13.3%,207,13.4,7.9
Latino,116,2.2%,3.12,32.8%,22.4%,207,13.2,8.0
Native Am.,22,0.4%,3.26,40.9%,31.8%,214,13.6,6.6
Caucasian,1879,36.1%,3.27,44.1%,31.3%,207,12.7,8.0
Other,713,13.7%,3.19,39.8%,27.3%,209,12.9,8.0
Disciplinary Area
Arts,280,5.4%,3.36,48.9%,37.9%,208,13.4,8.2
Humanities,280,5.4%,3.25,46.4%,28.9%,204,12.8,8.2
Engineering,933,17.9%,3.11,37.8%,19.7%,232,13.7,9.6
Science/Math,1216,23.4%,3.17,38.4%,25.9%,215,12.9,8.2
Social Science,2486,47.8%,3.15,42.3%,22.2%,200,12.6,7.3
Dbl/Special,5,0.1%,3.15,60.0%,0.0%,199,12.7,6.5
College
Revelle,841,16.2%,3.10,38.4%,20.2%,219,13.2,8.9
Muir,1066,20.5%,3.23,40.2%,31.0%,206,12.7,7.9
Marshall,1002,19.3%,3.11,42.7%,17.8%,203,13.0,7.8
Warren,1367,26.3%,3.16,39.8%,24.1%,212,13.1,8.0
Roosevelt,773,14.9%,3.18,45.4%,23.0%,210,12.9,8.7
Sixth,151,2.9%,3.33,44.4%,35.8%,206,11.8,5.9
School Type
High School,3645,70.1%,3.20,43.1%,25.9%,211,12.9,--
2yr College,1476,28.4%,3.06,35.9%,19.1%,206,--,8.1
4yr College/Univ.,73,1.4%,3.18,53.4%,17.8%,210,--,--
Unknown,6,0.1%,2.78,16.7%,16.7%,236,--,--
Total Population,5200,100.0%,3.16,41.2%,23.8%,210,12.9,8.1

Arts
Gender
Female,164,58.6%,3.41,45.7%,44.5%,208,13.2,7.7
Male,116,41.4%,3.28,53.4%,28.4%,208,13.6,8.9
Ethnicity
African Am.,2,0.7%,3.18,0.0%,50.0%,251,16.5,--
Asian,94,33.6%,3.30,59.6%,28.7%,207,13.0,8.0
Mexican Am.,16,5.7%,3.43,37.5%,43.8%,209,15.3,9.1
Filipino,19,6.8%,3.19,52.6%,15.8%,201,14.0,7.4
Latino,8,2.9%,3.07,25.0%,25.0%,203,13.8,8.5
Native Am.,2,0.7%,3.07,100.0%,0.0%,217,13.3,5.5
Caucasian,100,35.7%,3.45,40.0%,53.0%,209,13.6,7.7
Other,39,13.9%,3.38,53.8%,33.3%,209,13.4,9.5
College
Revelle,21,7.5%,3.20,71.4%,14.3%,219,13.3,12.0
Muir,84,30.0%,3.37,44.0%,40.5%,206,13.5,9.2
Marshall,40,14.3%,3.28,70.0%,20.0%,201,12.9,7.1
Warren,66,23.6%,3.37,39.4%,45.5%,210,14.4,7.9
Roosevelt,46,16.4%,3.37,43.5%,41.3%,213,13.8,8.9
Sixth,23,8.2%,3.52,47.8%,52.2%,204,11.9,5.6
School Type
High School,168,60.0%,3.32,53.0%,32.1%,205,13.4,--
2yr College,107,38.2%,3.42,42.1%,47.7%,211,--,8.2
4yr College/Univ.,5,1.8%,3.39,60.0%,20.0%,224,--,--
Unknown,0,0.0%,--,--,--,--,--,--
Total Arts,280,100.0%,3.36,48.9%,37.9%,208,13.4,8.2

Humanities
Gender
Female,167,59.6%,3.27,46.7%,29.9%,205,12.8,8.2
Male,113,40.4%,3.22,46.0%,27.4%,203,12.6,8.2
Ethnicity
African Am.,3,1.1%,3.07,66.7%,0.0%,188,12.5,7.0
Asian,47,16.8%,3.19,53.2%,17.0%,210,13.3,9.4
Mexican Am.,38,13.6%,3.03,50.0%,10.5%,200,13.5,9.2
Filipino,6,2.1%,3.32,16.7%,50.0%,219,12.2,--
Latino,4,1.4%,3.28,25.0%,50.0%,197,10.5,5.0
Native Am.,0,0.0%,--,--,--,--,--,--
Caucasian,149,53.2%,3.32,45.0%,36.2%,204,12.3,7.8
Other,33,11.8%,3.26,45.5%,30.3%,203,13.7,7.9
College
Revelle,33,11.8%,3.03,42.4%,12.1%,224,13.4,8.2
Muir,89,31.8%,3.36,39.3%,43.8%,203,12.8,8.5
Marshall,50,17.9%,3.18,44.0%,24.0%,197,12.3,8.2
Warren,44,15.7%,3.27,59.1%,20.5%,199,12.9,7.3
Roosevelt,59,21.1%,3.27,49.2%,27.1%,204,12.8,9.9
Sixth,5,1.8%,3.39,80.0%,20.0%,218,11.5,6.0
School Type
High School,180,64.3%,3.30,46.1%,32.8%,206,12.8,--
2yr College,97,34.6%,3.17,47.4%,21.6%,200,--,8.2
4yr College/Univ.,3,1.1%,3.22,33.3%,33.3%,229,--,--
Unknown,0,0.0%,--,--,--,--,--,--
Total Humanities,280,100.0%,3.25,46.4%,28.9%,204,12.8,8.2

Engineering
Gender
Female,186,19.9%,3.16,39.8%,22.0%,232,13.3,9.2
Male,747,80.1%,3.09,37.3%,19.1%,232,13.8,9.7
Ethnicity
