Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,3310,52.2%,3.17,41.4%,25.4%,211,12.7,7.5
Male,3025,47.8%,3.12,37.8%,23.4%,216,13.4,8.1
Ethnicity
African Am.,110,1.7%,3.00,40.0%,11.8%,211,13.6,7.9
Asian,2570,40.6%,3.09,40.7%,19.1%,214,13.1,7.6
Mexican Am.,546,8.6%,3.00,35.5%,14.1%,209,13.9,8.0
Filipino,229,3.6%,3.00,34.1%,14.4%,212,13.2,8.3
Latino,147,2.3%,3.08,42.2%,15.0%,210,13.0,8.3
Native Am.,25,0.4%,3.26,40.0%,28.0%,195,11.8,7.3
Caucasian,1510,23.8%,3.22,41.8%,29.2%,210,12.7,7.8
Other,1198,18.9%,3.30,37.5%,38.8%,221,12.7,8.0
Disciplinary Area
Arts,225,3.6%,3.34,43.1%,36.9%,214,13.1,7.9
Humanities,292,4.6%,3.23,39.7%,31.2%,210,13.1,8.5
Engineering,896,14.1%,3.14,39.3%,23.2%,236,13.6,9.5
Science/Math,409,6.5%,3.14,39.9%,23.0%,225,13.2,8.6
Biology,1478,23.3%,3.15,38.8%,24.6%,218,12.9,8.3
Social Science,3034,47.9%,3.13,40.0%,23.3%,204,12.9,7.1
Dbl/Special,1,0.0%,3.52,0.0%,100.0%,203,13.0,--
College
Revelle,944,14.9%,3.07,36.7%,19.6%,222,13.2,9.2
Muir,1151,18.2%,3.20,38.7%,29.0%,12.8,7.5
Marshall,1251,19.7%,3.16,40.9%,24.9%,207,12.8,7.3
Warren,1033,16.3%,3.14,41.5%,23.0%,214,12.9,7.9
Roosevelt,1038,16.4%,3.17,38.2%,27.6%,214,13.0,8.0
Sixth,918,14.5%,3.13,42.0%,21.0%,214,13.4,7.5
School Type
High School,3905,61.6%,3.19,41.1%,26.8%,218,13.0,--
2yr College,2297,36.3%,3.08,36.2%,20.6%,206,--,7.8
4yr College/Univ.,124,2.0%,3.26,60.5%,21.0%,217,--,--
Unknown,9,0.1%,2.92,22.2%,11.1%,199,--,--
First Generation College Status
First Generation,1948,30.7%,3.06,38.5%,18.0%,212,13.3,7.9
Not First Generation,4387,69.3%,3.19,40.2%,27.3%,214,12.9,7.7
Income
High: > $98401,1551,24.5%,3.23,39.0%,31.5%,213,12.5,7.5
Medium High: $65601 - $98400,654,10.3%,3.14,39.4%,23.9%,215,12.8,7.9
Medium Low: $32801 - $65600,1172,18.5%,3.09,42.0%,18.9%,214,13.2,7.9
Low: < $32800,1343,21.2%,3.05,38.3%,17.3%,214,13.5,8.1
Missing/Undeclared,1615,25.5%,3.19,39.9%,27.9%,213,12.9,7.7
Total Population,6335,100.0%,3.15,39.7%,24.4%,214,13.0,7.8

Arts
Gender
Female,129,57.3%,3.39,41.1%,43.4%,214,12.8,8.0
Male,96,42.7%,3.27,45.8%,28.1%,215,13.7,7.7
Ethnicity
African Am.,3,1.3%,2.88,0.0%,0.0%,203,16.5,6.0
Asian,73,32.4%,3.25,49.3%,26.0%,212,13.0,8.9
Mexican Am.,26,11.6%,3.31,46.2%,30.8%,225,13.8,9.0
Filipino,9,4.0%,3.35,44.4%,44.4%,221,13.8,8.0
Latino,1,0.4%,3.05,100.0%,0.0%,234,--,10.0
Native Am.,1,0.4%,4.00,0.0%,100.0%,237,--,7.0
Caucasian,91,40.4%,3.43,39.6%,47.3%,212,12.8,7.4
Other,21,9.3%,3.35,38.1%,38.1%,216,13.3,6.9
College
Revelle,15,6.7%,3.17,6.7%,33.3%,236,13.2,9.2
Muir,47,20.9%,3.37,57.4%,27.7%,215,13.0,7.6
Marshall,29,12.9%,3.34,41.4%,37.9%,209,12.3,7.4
Warren,20,8.9%,3.22,45.0%,25.0%,204,13.9,7.7
Roosevelt,34,15.1%,3.31,44.1%,38.2%,220,12.8,9.6
Sixth,80,35.6%,3.39,41.3%,45.0%,212,13.5,7.3
School Type
High School,118,52.4%,3.31,39.8%,37.3%,218,13.1,--
2yr College,106,47.1%,3.37,46.2%,36.8%,210,--,7.9
4yr College/Univ.,1,0.4%,3.24,100.0%,0.0%,197,--,--
Unknown,0,0.0%,--,--,--,--,--,--
First Generation College Status
First Generation,68,30.2%,3.29,47.1%,29.4%,216,13.7,8.1
Not First Generation,157,69.8%,3.36,41.4%,40.1%,213,12.9,7.8
Income
High: > $98401,50,22.2%,3.41,38.0%,46.0%,213,12.5,7.3
Medium High: $65601 - $98400,16,7.1%,3.41,25.0%,56.3%,219,13.6,7.7
Medium Low: $32801 - $65600,42,18.7%,3.31,42.9%,33.3%,218,12.8,7.9
Low: < $32800,43,19.1%,3.25,53.5%,23.3%,211,13.4,8.0
Missing/Undeclared,74,32.9%,3.34,44.6%,36.5%,214,13.6,8.1
Total Arts,225,100.0%,3.34,43.1%,36.9%,214,13.1,7.9

Humanities
Gender
Female,172,58.9%,3.29,41.3%,35.5%,214,13.0,8.6
Male,120,41.1%,3.14,37.5%,25.0%,205,13.3,8.4
Ethnicity
African Am.,5,1.7%,2.83,20.0%,20.0%,192,12.0,8.0
Asian,75,25.7%,3.27,53.3%,26.7%,217,12.8,8.4
Mexican Am.,39,13.4%,3.10,28.2%,28.2%,202,13.8,9.7
Filipino,8,2.7%,3.35,37.5%,50.0%,220,12.9,7.0
Latino,12,4.1%,2.91,25.0%,16.7%,198,13.6,14.7
Native Am.,1,0.3%,3.47,100.0%,0.0%,180,--,5.0
Caucasian,108,37.0%,3.28,38.9%,32.4%,207,13.1,7.8
Other,44,15.1%,3.26,34.1%,40.9%,216,12.6,8.9
College
Revelle,23,7.9%,2.92,34.8%,13.0%,218,15.8,10.6
Muir,62,21.2%,3.26,33.9%,37.1%,205,12.1,8.0
Marshall,52,17.8%,3.26,25.0%,40.4%,203,12.4,7.7
Warren,55,18.8%,3.21,52.7%,25.5%,210,12.9,9.4
Roosevelt,73,25.0%,3.27,42.5%,32.9%,216,13.3,8.4
Sixth,27,9.2%,3.26,51.9%,22.2%,211,12.8,7.1
School Type
High School,162,55.5%,3.29,37.0%,38.9%,213,13.1,--
2yr College,121,41.4%,3.13,43.8%,19.8%,206,--,8.5
4yr College/Univ.,8,2.7%,3.47,37.5%,50.0%,221,--,--
Unknown,1,0.3%,2.62,0.0%,0.0%,188,--,--
First Generation College Status
First Generation,91,31.2%,3.18,31.9%,34.1%,208,13.4,8.7
Not First Generation,201,68.8%,3.25,43.3%,29.9%,211,12.9,8.4
Income
High: > $98401,65,22.3%,3.38,43.1%,41.5%,214,12.4,7.2
Medium High: $65601 - $98400,33,11.3%,3.28,48.5%,27.3%,217,12.3,8.2
Medium Low: $32801 - $65600,53,18.2%,3.05,30.2%,24.5%,204,14.0,8.6
Low: < $32800,55,18.8%,3.20,38.2%,29.1%,209,13.7,8.6
Missing/Undeclared,86,29.5%,3.22,40.7%,30.2%,209,12.3,8.9
Total Humanities,292,100.0%,3.23,39.7%,31.2%,210,13.1,8.5

Engineering
Gender
Female,162,18.1%,3.18,42.0%,25.9%,242,13.3,9.5
Male,734,81.9%,3.13,38.7%,22.6%,235,13.7,9.4
Ethnicity
African Am.,12,1.3%,2.72,25.0%,0.0%,229,12.3,9.4
Asian,346,38.6%,3.06,41.3%,16.2%,238,13.9,9.4
Mexican Am.,50,5.6%,2.91,30.0%,6.0%,235,15.4,9.5
Filipino,28,3.1%,3.05,39.3%,10.7%,232,13.5,11.0
Latino,17,1.9%,3.20,47.1%,17.6%,235,13.0,8.5
Native Am.,1,0.1%,3.14,100.0%,0.0%,225,--,--
Caucasian,192,21.4%,3.10,40.6%,19.3%,233,13.9,10.2
Other,250,27.9%,3.34,37.2%,42.4%,238,12.7,8.7
College
Revelle,126,14.1%,3.09,36.5%,22.2%,243,13.7,10.7
Muir,119,13.3%,3.16,32.8%,30.3%,238,13.3,8.9
Marshall,150,16.7%,3.14,49.3%,18.0%,232,13.3,9.7
Warren,230,25.7%,3.16,40.0%,24.3%,232,13.3,8.7
Roosevelt,89,9.9%,3.11,32.6%,24.7%,243,13.8,10.3
Sixth,182,20.3%,3.13,39.6%,21.4%,236,14.1,9.1
School Type
High School,585,65.3%,3.17,41.4%,24.8%,237,13.6,--
2yr College,295,32.9%,3.06,33.6%,20.3%,235,--,9.5
4yr College/Univ.,16,1.8%,3.26,68.8%,18.8%,243,--,--
Unknown,0,0.0%,--,--,--,--,--,--
First Generation College Status
First Generation,249,27.8%,3.05,36.9%,16.5%,235,13.9,9.6
Not First Generation,647,72.2%,3.17,40.2%,25.8%,237,13.5,9.4
Income
High: > $98401,235,26.2%,3.22,39.6%,30.6%,237,13.2,9.9
Medium High: $65601 - $98400,81,9.0%,3.08,44.4%,16.0%,238,13.5,10.3
Medium Low: $32801 - $65600,143,16.0%,3.12,41.3%,21.0%,236,13.7,9.1
Low: < $32800,182,20.3%,3.02,34.6%,15.9%,234,13.9,9.9
Missing/Undeclared,255,28.5%,3.17,39.6%,25.1%,237,13.9,9.0
Total Engineering,896,100.0%,3.14,39.3%,23.2%,236,13.6,9.5

Science/Math
Gender
Female,192,46.9%,3.11,40.6%,20.3%,224,13.1,8.5
Male,217,53.1%,3.16,39.2%,25.3%,226,13.3,8.6
Ethnicity
African Am.,0,0.0%,--,--,--,--,--,--
Asian,164,40.1%,3.07,45.1%,14.6%,225,13.2,8.5
Mexican Am.,27,6.6%,2.80,18.5%,7.4%,224,16.2,7.9
Filipino,19,4.6%,3.11,52.6%,15.8%,220,12.8,7.5
Latino,7,1.7%,3.22,42.9%,28.6%,209,13.0,10.0
Native Am.,0,0.0%,--,--,--,--,--,--
Caucasian,105,25.7%,3.23,39.0%,29.5%,225,12.7,8.4
Other,87,21.3%,3.27,34.5%,36.8%,227,12.9,9.1
College
Revelle,94,23.0%,3.11,35.1%,21.3%,226,13.2,9.4
Muir,89,21.8%,3.24,44.9%,29.2%,226,12.7,7.9
