Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,3213,52.1%,3.17,39.6%,26.2%,214,12.9,7.6
Male,2957,47.9%,3.13,38.4%,24.3%,217,13.3,8.2
Ethnicity
African Am.,101,1.6%,3.07,53.5%,11.9%,215,13.9,8.0
Asian,2445,39.6%,3.08,40.7%,18.4%,215,13.0,7.6
Mexican Am.,593,9.6%,3.02,36.9%,16.0%,212,14.1,8.5
Filipino,255,4.1%,3.06,41.2%,14.5%,215,13.6,8.1
Latino,191,3.1%,3.07,35.1%,19.9%,209,13.7,7.7
Native Am.,31,0.5%,3.12,29.0%,25.8%,210,14.0,8.1
Caucasian,1488,24.1%,3.23,39.7%,30.5%,212,13.0,7.8
Other,1066,17.3%,3.33,34.4%,43.6%,224,12.6,8.4
Disciplinary Area
Arts,208,3.4%,3.38,42.8%,41.3%,216,13.9,8.3
Humanities,239,3.9%,3.25,41.4%,32.6%,209,13.7,7.9
Engineering,1052,17.1%,3.13,41.0%,21.4%,236,13.6,9.5
Science/Math,522,8.5%,3.14,36.4%,25.7%,221,12.9,8.4
Biology,1215,19.7%,3.20,36.9%,30.4%,220,13.0,8.6
Social Science,2929,47.5%,3.12,39.2%,22.8%,205,12.9,7.3
Dbl/Special,5,0.1%,3.33,80.0%,20.0%,219,11.5,6.0
College
Revelle,824,13.4%,3.12,37.9%,24.0%,225,13.2,9.0
Muir,1078,17.5%,3.18,39.5%,27.5%,215,12.9,8.0
Marshall,1220,19.8%,3.16,39.2%,24.5%,208,12.9,7.5
Warren,1115,18.1%,3.14,38.7%,24.9%,216,12.9,8.3
Roosevelt,1006,16.3%,3.15,39.0%,25.6%,214,13.2,7.9
Sixth,927,15.0%,3.16,39.8%,24.9%,215,13.3,7.5
School Type
High School,3702,60.0%,3.19,40.4%,27.8%,220,13.1,--
2yr College,2375,38.5%,3.09,36.8%,21.1%,207,--,7.9
4yr College/Univ.,86,1.4%,3.31,44.2%,32.6%,221,--,--
Unknown,7,0.1%,2.95,14.3%,28.6%,221,--,--
First Generation College Status
First Generation,1995,32.3%,3.06,37.3%,18.8%,213,13.5,7.9
Not First Generation,4175,67.7%,3.20,39.9%,28.4%,216,12.9,7.9
Income
High: > $98401,1494,24.2%,3.25,41.2%,31.4%,216,12.6,7.3
Medium High: $65601 - $98400,630,10.2%,3.17,38.3%,27.5%,217,12.9,7.8
Medium Low: $32801 - $65600,1194,19.4%,3.09,39.5%,20.6%,216,13.2,8.2
Low: < $32800,1379,22.4%,3.03,39.4%,15.3%,215,13.7,8.1
Missing/Undeclared,1473,23.9%,3.21,36.3%,31.3%,214,12.9,8.0
Total Population,6170,100.0%,3.15,39.0%,25.3%,215,13.1,7.9

Arts
Gender
Female,113,54.3%,3.45,39.8%,49.6%,218,13.3,8.3
