Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Male,1809,46.1%,3.07,42%,17%,208,13.8,8.9
Female,2113,53.9%,3.14,45%,20%,203,12.8,7.9
Ethnicity
African Am.,58,1.5%,2.96,35%,12%,204,14.4,10.0
Asian,1039,26.5%,3.03,40%,14%,206,13.4,8.8
Mexican Am.,284,7.2%,2.94,34%,11%,201,14.3,8.5
Filipino,191,4.9%,2.96,37%,9%,209,13.2,8.5
Latino,90,2.3%,3.12,47%,20%,201,12.8,8.4
Native Am.,25,0.6%,3.00,40%,12%,210,14.8,8.6
Caucasian,1667,42.5%,3.20,47%,24%,205,13.1,8.2
Other,568,14.5%,3.14,47%,18%,204,12.8,8.1
Disciplinary Area
Arts,236,6.0%,3.25,52%,25%,202,13.6,8.5
Humanities,244,6.2%,3.16,43%,22%,203,13.7,8.3
Engineering,563,14.4%,3.08,42%,16%,225,13.9,9.8
Science/Math,957,24.4%,3.10,39%,22%,211,13.3,9.1
Social Science,1916,48.9%,3.09,45%,17%,197,13.0,7.7
Dbl/Special,6,0.2%,3.42,--,--,198,12.8,--
College
Revelle,725,18.5%,3.06,38%,18%,216,13.6,9.8
Muir,925,23.6%,3.16,45%,22%,203,13.1,8.0
Marshall,792,20.2%,3.08,47%,15%,199,13.3,8.1
Warren,979,25.0%,3.11,41%,19%,205,13.1,8.3
Roosevelt,501,12.8%,3.13,48%,17%,205,13.3,9.2
School Type
High School,2780,70.9%,3.14,45%,20%,205,13.3,--
2yr College,1083,27.6%,3.03,40%,15%,205,--,8.4
4yr College/Univ.,43,1.1%,3.15,44%,21%,207,--,--
Unknown,16,0.4%,2.76,50%,--,215,--,--
Total Population,3922,100.0%,3.11,43%,19%,205,13.3,8.4

Arts
Gender
Male,119,50.4%,3.22,48%,26%,200,13.8,10.2
Female,117,49.6%,3.28,56%,25%,204,13.4,7.1
Ethnicity
African Am.,5,2.1%,3.10,40%,20%,193,12.5,22.0
Asian,58,24.6%,3.15,57%,12%,203,14.0,8.4
Mexican Am.,23,9.7%,3.11,35%,30%,207,15.0,10.6
Filipino,5,2.1%,3.31,40%,40%,197,12.3,7.5
Latino,6,2.5%,3.24,50%,17%,209,12.5,11.0
Native Am.,1,0.4%,3.34,100%,0%,202,--,10.0
Caucasian,96,40.7%,3.36,56%,34%,200,13.5,7.8
Other,42,17.8%,3.21,48%,21%,202,13.0,7.6
College
Revelle,23,9.7%,3.02,48%,13%,208,14.5,14.3
Muir,89,37.7%,3.32,52%,30%,204,13.2,9.0
Marshall,60,25.4%,3.22,55%,22%,198,13.5,7.6
Warren,37,15.7%,3.23,43%,30%,197,14.5,7.8
Roosevelt,27,11.4%,3.31,63%,22%,208,13.2,9.3
School Type
High School,153,64.8%,3.21,56%,22%,201,13.6,--
2yr College,78,33.1%,3.31,44%,35%,204,--,8.5
4yr College/Univ.,2,0.8%,3.30,100%,0%,201,--,--
Unknown,3,1.3%,3.19,67%,0%,220,--,--
Total Arts,236,100.0%,3.25,52%,25%,202,13.6,8.5

Humanities
Gender
Male,88,36.1%,3.16,35%,27%,201,14.2,7.7
Female,156,63.9%,3.16,47%,19%,204,13.5,8.6
Ethnicity
African Am.,5,2.0%,3.14,40%,20%,228,12.0,10.0
Asian,23,9.4%,3.11,30%,26%,208,14.7,8.5
Mexican Am.,34,13.9%,2.92,32%,9%,192,15.4,6.2
Filipino,9,3.7%,2.98,44%,0%,205,11.2,9.0
Latino,10,4.1%,3.35,40%,40%,195,13.9,6.0
Native Am.,2,0.8%,3.01,50%,0%,181,13.0,--
Caucasian,129,52.9%,3.25,45%,27%,204,13.2,8.5
Other,32,13.1%,3.13,56%,13%,207,13.6,8.5
College
Revelle,25,10.2%,3.05,52%,4%,220,14.3,14.5
Muir,78,32.0%,3.21,47%,26%,200,13.3,7.5
Marshall,41,16.8%,3.25,46%,29%,202,13.8,8.3
Warren,39,16.0%,3.02,44%,10%,198,13.8,7.6
Roosevelt,61,25.0%,3.18,31%,26%,204,13.7,11.4
School Type
High School,146,59.8%,3.18,40%,23%,203,13.1,--
2yr College,93,38.1%,3.15,48%,19%,203,--,8.0
4yr College/Univ.,4,1.6%,3.08,25%,25%,208,--,--
Unknown,1,0.4%,2.41,0%,0%,191,--,--
Total Humanities,244,100.0%,3.16,43%,22%,203,13.7,8.3

Engineering
Gender
Male,443,78.7%,3.06,44%,14%,224,14.1,9.8
Female,120,21.3%,3.13,35%,23%,228,13.2,10.0
Ethnicity
African Am.,6,1.1%,3.03,50%,0%,219,14.4,9.0
Asian,200,35.5%,3.02,39%,13%,224,13.9,9.6
Mexican Am.,20,3.6%,3.07,55%,15%,227,15.5,12.8
Filipino,33,5.9%,2.90,27%,9%,226,13.6,12.0
Latino,7,1.2%,3.13,57%,14%,219,12.4,9.0
