Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Male,1988,46.8%,3.08,38.1%,19.7%,209,13.7,8.6
Female,2260,53.2%,3.16,43.9%,22.5%,205,13.0,7.9
Ethnicity
African Am.,64,1.5%,2.93,39.1%,7.8%,208,14.0,8.6
Asian,1263,29.7%,3.06,40.9%,16.0%,208,13.3,8.4
Mexican Am.,316,7.4%,2.97,35.1%,14.6%,204,14.3,8.6
Filipino,204,4.8%,2.95,36.3%,10.8%,210,14.0,8.3
Latino,91,2.1%,3.09,40.7%,23.1%,208,13.5,8.6
Native Am.,29,0.7%,3.17,48.3%,24.1%,211,14.7,9.9
Caucasian,1692,39.8%,3.21,42.8%,27.1%,205,13.0,7.9
Other,589,13.9%,3.15,42.1%,23.4%,209,13.2,8.5
Disciplinary Area
Arts,300,7.1%,3.27,52.0%,26.0%,207,13.9,8.5
Humanities,226,5.3%,3.17,43.4%,24.3%,205,13.4,8.0
Engineering,674,15.9%,3.11,38.3%,20.9%,227,13.9,9.8
Science/Math,994,23.4%,3.12,37.5%,23.4%,212,13.2,8.6
Social Science,2051,48.3%,3.11,42.1%,19.1%,198,13.0,7.5
Dbl/Special,3,0.1%,3.55,33.3%,66.7%,245,11.0,6.0
College
Revelle,793,18.7%,3.09,37.3%,21.7%,215,13.4,9.1
Muir,937,22.1%,3.19,43.5%,24.1%,206,13.2,8.0
Marshall,940,22.1%,3.09,44.5%,16.0%,201,13.1,8.0
Warren,1067,25.1%,3.10,38.5%,22.3%,207,13.5,8.2
Roosevelt,511,12.0%,3.14,42.5%,22.3%,206,13.2,8.4
School Type
High School,2968,69.9%,3.16,43.4%,22.6%,207,13.3,--
2yr College,1193,28.1%,3.04,36.2%,17.1%,206,--,8.2
4yr College/Univ.,69,1.6%,3.24,39.1%,30.4%,204,--,--
Unknown,18,0.4%,2.67,11.1%,16.7%,208,--,--
Total Population,4248,100.0%,3.12,41.2%,21.2%,207,13.3,8.2

Arts
Gender
Male,152,50.7%,3.20,48.7%,21.7%,205,14.3,8.0
Female,148,49.3%,3.33,55.4%,30.4%,208,13.5,8.1
Ethnicity
African Am.,3,1.0%,3.09,33.3%,33.3%,277,17.0,6.0
Asian,96,32.0%,3.20,63.5%,14.6%,204,13.8,8.0
Mexican Am.,19,6.3%,3.38,52.6%,31.6%,207,13.8,7.8
Filipino,18,6.0%,3.10,50.0%,16.7%,206,14.3,7.2
Latino,4,1.3%,3.19,25.0%,25.0%,204,13.5,11.5
Native Am.,1,0.3%,3.54,0.0%,100.0%,192,--,--
Caucasian,120,40.0%,3.32,46.7%,33.3%,206,14.0,7.6
Other,39,13.0%,3.31,46.2%,30.8%,211,13.8,9.4
College
Revelle,16,5.3%,3.02,50.0%,0.0%,213,13.9,0.0
Muir,96,32.0%,3.36,54.2%,32.3%,209,13.4,8.5
Marshall,64,21.3%,3.18,50.0%,21.9%,204,14.0,7.7
Warren,72,24.0%,3.31,51.4%,30.6%,202,14.1,7.1
Roosevelt,52,17.3%,3.23,51.9%,21.2%,211,14.2,9.8
School Type
High School,198,66.0%,3.22,54.5%,18.7%,207,13.9,--
2yr College,96,32.0%,3.37,49.0%,39.6%,207,--,8.1
4yr College/Univ.,4,1.3%,3.35,0.0%,50.0%,198,--,--
Unknown,2,0.7%,3.11,0.0%,50.0%,186,--,--
Total Arts,300,100.0%,3.27,52.0%,26.0%,207,13.9,8.1

Humanities
Gender
Male,97,42.9%,3.12,44.3%,20.6%,212,14.5,7.9
Female,129,57.1%,3.20,42.6%,27.1%,203,12.7,8.1
Ethnicity
African Am.,0,0.0%,--,--,--,--,--,--
Asian,30,13.3%,3.14,46.7%,23.3%,205,12.8,7.3
Mexican Am.,31,13.7%,3.06,35.5%,19.4%,209,14.6,10.0
Filipino,6,2.7%,3.11,16.7%,33.3%,214,14.3,11.3
Latino,6,2.7%,3.36,50.0%,50.0%,191,11.3,6.5
Native Am.,5,2.2%,3.05,80.0%,0.0%,216,20.5,9.5
Caucasian,113,50.0%,3.21,47.8%,23.0%,203,13.1,7.5
Other,35,15.5%,3.15,31.4%,31.4%,211,13.9,7.9
College
Revelle,27,11.9%,3.04,44.4%,14.8%,216,14.6,10.0
Muir,69,30.5%,3.21,54.2%,32.3%,205,12.8,8.5
Marshall,58,25.7%,3.13,50.0%,21.9%,201,13.7,7.5
Warren,31,13.7%,3.11,51.4%,30.6%,209,13.6,7.4
Roosevelt,41,18.1%,3.26,51.9%,21.2%,203,13.1,8.8
School Type
High School,147,65.0%,3.21,42.2%,29.3%,204,13.4,--
2yr College,69,30.5%,3.09,47.8%,14.5%,208,--,8.0
4yr College/Univ.,9,4.0%,3.17,33.3%,22.2%,205,--,--
Unknown,1,0.4%,2.21,0.0%,0.0%,182,--,--
Total Humanities,226,100.0%,3.17,43.4%,24.3%,205,13.4,8.0

Engineering
136,20.2%,3.20,39.7%,27.9%,230,13.7,9.6
Ethnicity
African Am.,3,0.4%,2.88,66.7%,0.0%,232,12.0,11.5
Asian,265,39.3%,3.05,35.8%,17.0%,227,14.2,9.4
Mexican Am.,25,3.7%,3.01,36.0%,12.0%,231,15.5,10.5
Filipino,26,3.9%,2.97,42.3%,7.7%,224,14.7,9.4
Latino,12,1.8%,3.14,41.7%,25.0%,230,13.4,9.0
Native Am.,3,0.4%,2.65,0.0%,0.0%,227,16.0,--
Caucasian,233,34.6%,3.21,38.2%,29.2%,227,13.7,10.0
Other,107,15.9%,3.13,43.9%,18.7%,228,13.6,10.5
College
Revelle,121,18.0%,3.13,34.7%,23.1%,235,13.9,9.3
Muir,105,15.6%,3.18,44.8%,21.9%,234,14.4,10.0
Marshall,100,14.8%,3.04,41.0%,13.0%,227,13.5,10.1
Warren,324,48.1%,3.13,38.0%,22.8%,221,13.7,9.9
Roosevelt,24,3.6%,2.85,20.8%,12.5%,240,15.9,9.8
School Type
High School,435,64.5%,3.15,37.9%,24.6%,227,13.9,--
2yr College,229,34.0%,3.03,38.0%,14.0%,228,--,9.8
4yr College/Univ.,9,1.3%,3.26,55.6%,22.2%,231,--,--
Unknown,1,0.1%,3.33,100.0%,0.0%,241,--,--
Total Engineering,674,100.0%,3.11,38.3%,20.9%,227,13.9,9.8

Science/Math
Gender
Male,440,44.3%,3.12,36.8%,24.5%,212,13.4,8.6
Female,554,55.7%,3.12,38.1%,22.6%,212,13.1,8.5
Ethnicity
African Am.,12,1.2%,2.89,41.7%,8.3%,211,15.4,8.0
Asian,322,32.4%,3.08,34.8%,22.4%,213,13.2,7.9
Mexican Am.,62,6.2%,2.95,40.3%,11.3%,211,14.2,8.9
Filipino,60,6.0%,2.92,28.3%,11.7%,214,13.7,9.0
Latino,19,1.9%,3.06,21.1%,31.6%,216,14.4,9.2
Native Am.,9,0.9%,3.36,55.6%,33.3%,210,12.3,9.3
Caucasian,378,38.0%,3.21,39.2%,28.8%,212,13.0,8.5
Other,132,13.3%,3.13,43.2%,21.2%,210,13.0,8.9
College
Revelle,348,35.0%,3.15,34.8%,27.6%,214,13.1,9.0
Muir,201,20.2%,3.19,44.3%,24.4%,213,13.1,8.8
Marshall,160,16.1%,3.06,38.1%,16.9%,207,13.4,8.2
Warren,216,21.7%,3.08,35.6%,22.7%,211,13.4,8.2
Roosevelt,69,6.9%,3.02,36.2%,17.4%,214,13.5,8.8
School Type
High School,734,73.8%,3.18,42.4%,25.7%,213,13.2,--
2yr College,247,24.8%,2.92,23.1%,15.8%,208,--,8.6
4yr College/Univ.,11,1.1%,3.35,36.4%,45.5%,213,--,--
Unknown,2,0.2%,2.75,50.0%,0.0%,191,--,--
Total Science/Math,994,100.0%,3.12,37.5%,23.4%,212,13.2,8.6

Social Science
Gender
Male,760,37.1%,3.02,35.9%,16.8%,196,13.5,7.7
Female,1291,62.9%,3.14,45.8%,20.4%,199,12.8,7.4
Ethnicity
African Am.,46,2.2%,2.93,37.0%,6.5%,201,13.4,8.3
Asian,550,26.8%,3.03,42.5%,11.6%,197,13.0,7.6
Mexican Am.,179,8.7%,2.92,31.3%,13.4%,197,14.2,8.0
Filipino,94,4.6%,2.94,38.3%,8.5%,203,13.9,7.6
Latino,50,2.4%,3.05,48.0%,16.0%,202,13.7,8.2
Native Am.,11,0.5%,3.18,45.5%,27.3%,207,14.7,11.0
Caucasian,845,41.2%,3.20,44.6%,25.3%,197,12.6,7.3
Other,276,13.5%,3.15,41.7%,24.3%,200,13.0,7.3
College
Revelle,281,13.7%,3.00,40.2%,15.7%,208,13.5,9.3
Muir,466,22.7%,3.15,40.8%,22.3%,196,12.9,7.3
Marshall,557,27.2%,3.09,46.3%,15.1%,195,12.8,7.6
Warren,423,20.6%,3.08,37.6%,20.3%,196,13.2,7.2
