Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,2658,52.7%,3.19,43.6%,25.5%,206,12.6,7.6
Male,2385,47.3%,3.09,40.2%,19.5%,213,13.5,8.4
Ethnicity
African Am.,59,1.2%,3.00,25.4%,23.7%,210,13.1,9.0
Asian,1690,33.5%,3.09,40.1%,20.1%,212,13.0,7.9
Mexican Am.,349,6.9%,2.99,38.4%,11.7%,205,13.6,8.8
Filipino,249,4.9%,2.99,41.4%,10.8%,209,13.4,8.3
Latino,107,2.1%,3.06,41.1%,14.0%,211,13.4,8.8
Native Am.,31,0.6%,3.24,32.3%,32.3%,213,13.9,8.3
Caucasian,1878,37.2%,3.24,44.2%,29.6%,207,12.8,7.8
Other,680,13.5%,3.14,44.6%,20.6%,211,13.2,8.1
Disciplinary Area
Arts,296,5.9%,3.29,51.7%,29.7%,208,13.4,8.1
Humanities,259,5.1%,3.24,44.8%,28.6%,203,12.8,8.4
Engineering,998,19.8%,3.14,41.2%,22.4%,230,13.4,9.3
Science/Math,1079,21.4%,3.12,38.1%,24.5%,215,13.0,8.6
Social Science,2406,47.7%,3.12,42.5%,20.3%,199,12.8,7.1
Dbl/Special,5,0.1%,3.49,40.0%,60.0%,232,14.3,10.0
College
Revelle,879,17.4%,3.11,37.8%,22.9%,220,13.3,9.0
Muir,1008,20.0%,3.19,43.0%,26.3%,206,12.8,7.9
Marshall,1105,21.9%,3.12,44.3%,18.5%,202,13.0,7.5
Warren,1363,27.0%,3.14,42.4%,22.7%,211,13.1,8.1
Roosevelt,681,13.5%,3.14,41.1%,23.5%,209,12.9,8.2
School Type
High School,3339,66.2%,3.19,43.5%,25.7%,210,13.0,--
2yr College,1597,31.7%,3.04,38.6%,16.6%,206,--,8.0
4yr College/Univ.,93,1.8%,3.14,47.3%,19.4%,210,--,--
Unknown,14,0.3%,2.64,21.4%,7.1%,235,--,--
Total Population,5043,100.0%,3.14,42.0%,22.6%,209,13.0,8.0

Arts
Gender
Female,171,57.8%,3.35,49.1%,36.3%,207,13.0,7.8
Male,125,42.2%,3.22,55.2%,20.8%,210,14.0,8.4
Ethnicity
African Am.,8,2.7%,3.20,75.0%,12.5%,189,12.3,5.8
Asian,90,30.4%,3.22,54.4%,23.3%,206,13.3,8.1
Mexican Am.,25,8.4%,3.20,44.0%,24.0%,219,14.3,9.1
Filipino,11,3.7%,3.31,81.8%,9.1%,202,12.5,7.8
Latino,10,3.4%,3.24,50.0%,20.0%,213,16.3,10.3
Native Am.,3,1.0%,3.33,33.3%,33.3%,198,14.0,9.0
Caucasian,124,41.9%,3.36,46.8%,39.5%,209,13.4,8.0
Other,25,8.4%,3.35,56.0%,28.0%,205,12.3,7.2
College
Revelle,20,6.8%,3.16,35.0%,20.0%,227,14.3,--
Muir,74,25.0%,3.38,45.9%,39.2%,210,13.1,8.1
Marshall,68,23.0%,3.21,58.8%,20.6%,205,13.2,7.7
Warren,86,29.1%,3.33,54.7%,33.7%,204,13.4,7.7
Roosevelt,48,16.2%,3.25,52.1%,25.0%,209,13.3,11.4
School Type
High School,159,53.7%,3.25,49.7%,23.9%,206,13.4,--
2yr College,132,44.6%,3.36,54.5%,37.1%,209,--,8.1
4yr College/Univ.,3,1.0%,3.29,66.7%,33.3%,207,--,--
Unknown,2,0.7%,2.46,0.0%,0.0%,271,--,--
Total Arts,296,100.0%,3.29,51.7%,29.7%,208,13.4,8.1

Humanities
Gender
Female,149,57.5%,3.27,40.9%,32.9%,205,12.6,8.0
Male,110,42.5%,3.20,50.0%,22.7%,200,13.1,8.8
Ethnicity
African Am.,3,1.2%,3.34,0.0%,66.7%,210,12.0,8.0
Asian,29,11.2%,3.15,51.7%,20.7%,204,12.5,8.5
Mexican Am.,29,11.2%,2.96,41.4%,10.3%,204,14.8,9.8
Filipino,9,3.5%,3.15,55.6%,11.1%,215,13.0,7.8
Latino,11,4.2%,3.15,36.4%,18.2%,201,12.8,6.5
Native Am.,2,0.8%,3.91,0.0%,100.0%,215,12.0,6.0
Caucasian,137,52.9%,3.32,41.6%,37.2%,201,12.5,8.0
Other,39,15.1%,3.23,59.0%,17.9%,203,12.8,9.4
College
Revelle,21,8.1%,3.20,42.9%,23.8%,216,13.8,10.0
Muir,76,29.3%,3.37,39.5%,42.1%,202,12.0,7.8
Marshall,59,22.8%,3.26,52.5%,25.4%,201,12.6,8.3
Warren,55,21.2%,3.07,50.9%,10.9%,199,13.0,9.1
Roosevelt,47,18.1%,3.21,38.3%,31.9%,204,13.2,9.6
School Type
High School,159,61.4%,3.29,44.0%,33.3%,206,12.8,--
2yr College,97,37.5%,3.16,45.4%,21.6%,198,--,8.4
4yr College/Univ.,3,1.2%,3.11,66.7%,0.0%,195,--,--
Unknown,0,0.0%,--,--,--,--,--,--
Total Humanities,259,100.0%,3.24,44.8%,28.6%,203,12.8,8.4

Engineering
Gender
Female,216,21.6%,3.21,43.5%,27.3%,230,13.0,9.4
Male,782,78.4%,3.12,40.5%,21.1%,230,13.5,9.3
Ethnicity
African Am.,7,0.7%,3.00,14.3%,28.6%,234,14.0,9.6
Asian,474,47.5%,3.15,39.0%,25.3%,228,13.2,8.7
Mexican Am.,41,4.1%,2.97,26.8%,9.8%,226,14.0,11.7
Filipino,44,4.4%,3.00,31.8%,13.6%,228,14.7,9.4
Latino,12,1.2%,3.02,33.3%,16.7%,242,13.4,11.2
Native Am.,7,0.7%,3.14,42.9%,14.3%,244,14.3,10.0
Caucasian,275,27.6%,3.20,46.2%,24.0%,232,13.5,9.5
Other,138,13.8%,3.11,47.8%,16.7%,231,13.2,10.1
College
Revelle,219,21.9%,3.18,44.7%,22.8%,238,13.4,9.2
Muir,119,11.9%,3.12,42.0%,21.8%,229,13.5,10.3
Marshall,146,14.6%,3.02,39.7%,11.6%,226,13.8,9.2
Warren,452,45.3%,3.19,40.5%,26.3%,226,13.1,9.3
Roosevelt,62,6.2%,3.03,35.5%,19.4%,241,14.5,9.2
School Type
High School,654,65.5%,3.18,43.1%,25.1%,229,13.4,--
2yr College,330,33.1%,3.06,37.0%,17.0%,230,--,9.3
4yr College/Univ.,12,1.2%,3.28,50.0%,25.0%,248,--,--
Unknown,2,0.2%,3.50,50.0%,50.0%,303,--,--
Total Engineering,998,100.0%,3.14,41.2%,22.4%,230,13.4,9.3

Science/Math
Gender
Female,606,56.2%,3.14,38.6%,25.4%,216,12.7,8.5
