Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,2642,52.2%,3.17,42.2%,24.5%,208,12.7,7.5
Male,2419,47.8%,3.10,39.3%,21.1%,213,13.5,8.1
Ethnicity
African Am.,70,1.4%,2.93,41.4%,5.7%,212,13.2,8.7
Asian,1692,33.4%,3.10,40.3%,19.9%,214,13.0,7.7
Mexican Am.,386,7.6%,2.99,34.7%,15.3%,204,13.9,7.9
Filipino,234,4.6%,2.99,40.6%,12.0%,209,13.4,8.1
Latino,129,2.5%,3.12,36.4%,22.5%,209,13.1,8.1
Native Am.,27,0.5%,3.13,29.6%,29.6%,207,14.4,6.5
Caucasian,1841,36.4%,3.23,42.4%,29.6%,208,12.9,7.7
Other,682,13.5%,3.15,42.7%,22.0%,211,12.8,7.9
Disciplinary Area
Arts,257,5.1%,3.35,51.4%,34.2%,211,13.9,8.3
Humanities,262,5.2%,3.19,45.0%,24.4%,205,13.0,7.7
Engineering,814,16.1%,3.11,38.1%,20.9%,234,13.9,9.7
Science/Math,1278,25.3%,3.14,38.4%,25.3%,215,12.9,8.3
Social Science,2446,48.3%,3.12,41.5%,20.9%,201,12.8,7.0
Dbl/Special,4,0.1%,3.48,50.0%,50.0%,189,12.3,7.0
College
Revelle,799,15.8%,3.11,38.9%,21.7%,221,13.3,8.8
Muir,972,19.2%,3.17,40.1%,25.8%,207,12.9,7.6
Marshall,989,19.5%,3.13,41.9%,21.8%,205,13.1,7.6
Warren,1254,24.8%,3.12,40.4%,21.8%,210,13.2,8.0
Roosevelt,733,14.5%,3.13,43.9%,20.7%,211,12.9,7.9
Sixth,314,6.2%,3.22,39.2%,22.9%,213,12.4,6.3
School Type
High School,3398,67.1%,3.17,42.5%,25.0%,213,13.0,--
2yr College,1536,30.3%,3.06,36.9%,18.6%,205,--,7.8
4yr College/Univ.,91,1.8%,3.18,48.4%,18.7%,212,--,--
Unknown,36,0.7%,3.08,33.3%,22.2%,216,--,--
Total Population,5061,100.0%,3.14,40.8%,22.9%,210,13.0,7.8

Arts
Gender
Female,143,55.6%,3.38,50.3%,37.1%,214,13.5,7.9
Male,114,44.4%,3.31,52.6%,30.7%,207,14.4,8.8
Ethnicity
African Am.,5,1.9%,3.25,60.0%,20.0%,230,13.5,7.0
Asian,70,27.2%,3.28,50.0%,28.6%,215,13.8,9.5
Mexican Am.,17,6.6%,3.35,47.1%,41.2%,216,16.2,7.4
Filipino,14,5.4%,3.27,57.1%,21.4%,212,15.7,7.5
Latino,10,3.9%,3.44,50.0%,40.0%,202,13.3,7.1
Native Am.,4,1.6%,3.10,50.0%,0.0%,214,16.5,4.5
Caucasian,112,43.6%,3.40,53.6%,38.4%,207,13.8,8.8
Other,25,9.7%,3.39,44.0%,40.0%,212,13.0,8.5
College
Revelle,19,7.4%,3.26,57.9%,21.1%,220,13.7,--
Muir,67,26.1%,3.40,46.3%,40.3%,212,13.5,8.0
Marshall,54,21.0%,3.27,50.0%,31.5%,209,14.7,9.1
Warren,47,18.3%,3.41,55.3%,38.3%,209,15.3,9.0
Roosevelt,32,12.5%,3.21,62.5%,9.4%,212,13.6,8.3
Sixth,38,14.8%,3.47,44.7%,50.0%,209,12.8,6.6
School Type
High School,161,62.6%,3.33,54.0%,30.4%,213,13.9,--
2yr College,88,34.2%,3.39,44.3%,43.2%,207,--,8.3
4yr College/Univ.,5,1.9%,3.46,80.0%,20.0%,192,--,--
Unknown,3,1.2%,3.17,66.7%,0.0%,250,--,--
Total Arts,257,100.0%,3.35,51.4%,34.2%,211,13.9,8.3

Humanities
Gender
Female,153,58.4%,3.21,45.8%,26.8%,204,12.9,7.9
Male,109,41.6%,3.16,44.0%,21.1%,205,13.0,7.4
Ethnicity
African Am.,6,2.3%,3.28,66.7%,16.7%,208,11.5,6.3
Asian,41,15.6%,3.15,56.1%,14.6%,210,12.7,7.7
Mexican Am.,35,13.4%,2.97,42.9%,11.4%,197,14.1,8.6
Filipino,7,2.7%,3.09,42.9%,14.3%,196,12.8,6.0
Latino,9,3.4%,3.07,33.3%,11.1%,199,12.0,9.2
Native Am.,1,0.4%,2.53,0.0%,0.0%,183,--,6.0
Caucasian,125,47.7%,3.26,43.2%,32.8%,207,13.0,7.2
Other,38,14.5%,3.24,42.1%,26.3%,202,12.5,8.3
College
Revelle,23,8.8%,3.02,39.1%,13.0%,211,13.9,13.5
Muir,78,29.8%,3.24,44.9%,28.2%,208,12.9,8.2
Marshall,45,17.2%,3.18,42.2%,22.2%,198,13.0,7.5
Warren,48,18.3%,3.16,45.8%,27.1%,202,13.2,7.5
Roosevelt,53,20.2%,3.22,49.1%,24.5%,203,12.4,6.7
Sixth,15,5.7%,3.20,46.7%,20.0%,214,13.1,5.7
School Type
High School,154,58.8%,3.21,44.8%,27.3%,206,13.0,--
2yr College,98,37.4%,3.15,45.9%,19.4%,200,--,7.7
