Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,2272,54.9%,3.17,41.5%,25.0%,206,13.0,7.7
Male,1864,45.1%,3.11,39.6%,21.4%,210,13.6,8.5
Ethnicity
African Am.,50,1.2%,2.99,32.0%,20.0%,204,14.0,7.8
Asian,1276,30.9%,3.09,39.7%,17.8%,210,13.3,8.0
Mexican Am.,304,7.4%,3.02,37.8%,15.5%,206,14.1,8.2
Filipino,196,4.7%,2.96,31.1%,13.3%,208,13.7,9.4
Latino,85,2.1%,3.05,40.0%,15.3%,206,13.6,8.1
Native Am.,15,0.4%,3.19,33.3%,33.3%,208,13.6,7.5
Caucasian,1669,40.4%,3.25,43.5%,30.5%,207,13.0,8.1
Other,541,13.1%,3.15,40.3%,24.0%,209,13.2,8.0
Disciplinary Area
Arts,281,6.8%,3.34,43.8%,38.4%,211,13.8,8.0
Humanities,253,6.1%,3.22,46.6%,27.7%,204,13.1,7.7
Engineering,654,15.8%,3.10,40.4%,19.0%,228,13.9,10.0
Science/Math,920,22.2%,3.11,35.3%,23.8%,214,13.3,8.5
Social Science,2022,48.9%,3.14,42.0%,22.0%,199,13.0,7.3
Dbl/Special,6,0.1%,3.44,50.0%,33.3%,215,12.0,6.0
College
Revelle,715,17.3%,3.08,38.6%,18.3%,218,13.3,8.8
Muir,916,22.1%,3.21,42.2%,27.7%,206,13.1,7.9
Marshall,932,22.5%,3.12,41.2%,20.5%,202,13.1,7.8
Warren,1009,24.4%,3.14,39.0%,25.1%,209,13.4,8.1
Roosevelt,564,13.6%,3.18,42.7%,24.5%,207,13.4,8.6
School Type
High School,2791,67.5%,3.19,42.6%,25.3%,209,13.3,--
2yr College,1253,30.3%,3.06,36.6%,19.4%,205,--,8.1
4yr College/Univ.,77,1.9%,3.20,41.6%,24.7%,208,--,--
Unknown,15,0.4%,2.67,20.0%,0.0%,211,--,--
Total Population,4136,100.0%,3.15,40.7%,23.4%,208,13.3,8.1

Arts
Gender
Female,162,57.7%,3.37,50.0%,36.4%,209,13.8,7.7
Male,119,42.3%,3.31,35.3%,41.2%,212,13.9,8.5
Ethnicity
African Am.,5,1.8%,3.44,-- *,-- *,223,12.0,8.0
Asian,96,34.2%,3.23,50.0%,22.9%,207,13.8,7.5
Mexican Am.,12,4.3%,3.24,50.0%,25.0%,207,13.9,8.0
Filipino,12,4.3%,3.23,41.7%,25.0%,208,14.3,11.0
Latino,3,1.1%,3.38,-- *,-- *,214,15.0,7.5
Native Am.,2,0.7%,3.37,-- *,-- *,188,12.0,--
Caucasian,116,41.3%,3.45,37.1%,52.6%,211,13.8,8.1
Other,35,12.5%,3.36,45.7%,40.0%,220,14.1,7.8
College
Revelle,27,9.6%,3.18,37.0%,25.9%,234,14.3,10.5
Muir,91,32.4%,3.37,42.9%,44.0%,208,13.7,7.9
Marshall,51,18.1%,3.34,54.9%,29.4%,209,15.0,7.7
Warren,62,22.1%,3.40,41.9%,46.8%,206,13.8,7.7
Roosevelt,50,17.8%,3.32,40.0%,34.0%,211,13.2,9.4
School Type
High School,151,53.7%,3.31,42.4%,37.1%,210,13.8,--
2yr College,125,44.5%,3.38,44.8%,40.8%,211,--,8.0
4yr College/Univ.,3,1.1%,3.25,-- *,-- *,208,--,--
Unknown,2,0.7%,3.37,-- *,-- *,209,--,--
Total Arts,281,100.0%,3.34,43.8%,38.4%,211,13.8,8.0

Humaties
Gender
Female,146,57.7%,3.25,43.8%,31.5%,205,12.6,8.4
Male,107,42.3%,3.18,50.5%,22.4%,203,13.9,7.1
Ethnicity
African Am.,2,0.8%,3.23,-- *,-- *,210,15.0,5.0
Asian,26,10.3%,3.04,46.2%,15.4%,208,12.8,10.8
Mexican Am.,33,13.0%,3.10,39.4%,18.2%,204,14.0,7.8
Filipino,8,3.2%,3.20,62.5%,12.5%,221,13.0,6.0
Latino,11,4.3%,3.14,54.5%,18.2%,191,13.8,7.8
Native Am.,0,0.0%,--,-- *,-- *,--,--,--
Caucasian,146,57.7%,3.29,46.6%,33.6%,205,12.9,7.3
Other,27,10.7%,3.20,44.4%,29.6%,199,12.7,8.7
College
Revelle,21,8.3%,3.04,47.6%,19.0%,227,13.6,--
Muir,74,29.2%,3.24,47.3%,25.7%,201,12.7,7.8
Marshall,69,27.3%,3.25,47.8%,31.9%,201,12.7,8.0
Warren,41,16.2%,3.17,46.3%,24.4%,203,13.4,6.8
Roosevelt,48,19.0%,3.28,43.8%,31.3%,207,13.4,8.1
School Type
High School,153,60.5%,3.28,48.4%,32.0%,208,13.1,--
2yr College,88,34.8%,3.15,46.6%,21.6%,199,--,7.7
4yr College/Univ.,7,2.8%,3.26,42.9%,28.6%,194,--,--
Unknown,5,2.0%,2.67,-- *,-- *,217,--,--
Total Humanities,253,100.0%,3.22,46.6%,27.7%,204,13.1,7.7

Engineering
Gender
Female,149,22.8%,3.13,39.6%,20.1%,231,13.8,9.2
Male,505,77.2%,3.09,40.6%,18.6%,227,13.9,10.3
Ethnicity
African Am.,6,0.9%,2.68,16.7%,0.0%,224,15.5,13.0
Asian,278,42.5%,3.10,37.8%,19.8%,227,13.5,9.3
Mexican Am.,28,4.3%,2.87,28.6%,7.1%,228,15.9,11.3
Filipino,28,4.3%,2.89,32.1%,7.1%,232,14.7,12.9
Latino,10,1.5%,2.96,50.0%,10.0%,239,12.7,11.5
Native Am.,2,0.3%,3.08,-- *,-- *,229,15.0,--
Caucasian,215,32.9%,3.16,45.1%,20.9%,228,14.0,10.6
Other,87,13.3%,3.14,43.7%,21.8%,228,13.6,9.8
College
Revelle,123,18.8%,3.06,40.7%,16.3%,238,14.1,10.1
Muir,99,15.1%,3.15,47.5%,23.2%,228,14.0,9.6
Marshall,110,16.8%,3.04,38.2%,13.6%,227,13.8,9.6
Warren,291,44.5%,3.13,39.2%,21.3%,223,13.5,10.3
Roosevelt,31,4.7%,3.01,35.5%,12.9%,238,15.5,10.3
School Type
High School,430,65.7%,3.14,42.6%,21.6%,226,13.9,--
2yr College,210,32.1%,3.01,35.7%,13.3%,230,--,10.0
4yr College/Univ.,13,2.0%,3.16,46.2%,23.1%,232,--,--
Unknown,1,0.2%,2.20,-- *,-- *,239,--,--
Total Engineering,654,100.0%,3.10,40.4%,19.0%,228,13.9,10.0

Science/Math
Gender
Female,530,57.6%,3.10,37.0%,21.7%,214,13.2,8.0
Male,390,42.4%,3.12,33.1%,26.7%,214,13.5,9.1
Ethnicity
African Am.,7,0.8%,2.98,28.6%,14.3%,198,11.5,7.0
Asian,292,31.7%,3.07,33.2%,21.2%,214,13.2,9.0
Mexican Am.,66,7.2%,2.96,33.3%,13.6%,212,14.0,7.8
Filipino,61,6.6%,3.00,27.9%,19.7%,209,13.7,8.0
Latino,15,1.6%,3.10,20.0%,26.7%,224,14.3,8.0
Native Am.,3,0.3%,3.22,-- *,-- *,222,14.0,10.0
Caucasian,355,38.6%,3.21,40.8%,28.5%,214,13.1,8.4
Other,121,13.2%,3.06,31.4%,24.0%,216,13.4,8.6
College
Revelle,311,33.8%,3.13,36.3%,24.4%,216,13.0,8.3
Muir,185,20.1%,3.16,36.8%,26.5%,216,13.2,8.8
Marshall,164,17.8%,3.04,32.9%,18.9%,206,13.3,8.7
Warren,194,21.1%,3.06,32.0%,23.7%,214,13.8,8.4
Roosevelt,66,7.2%,3.20,42.4%,25.8%,219,13.7,8.6
School Type
High School,677,73.6%,3.18,39.4%,26.1%,215,13.3,--
2yr College,225,24.5%,2.90,22.7%,17.3%,210,--,8.5
4yr College/Univ.,17,1.8%,3.13,41.2%,17.6%,221,--,--
Unknown,1,0.1%,2.69,-- *,-- *,192,--,--
Total Science/Math,920,100.0%,3.11,35.3%,23.8%,214,13.3,8.5

Social Science
Gender
Female,1283,63.5%,3.18,42.4%,24.7%,200,12.8,7.3
Male,739,36.5%,3.08,41.3%,17.2%,198,13.3,7.3
Ethnicity
African Am.,29,1.4%,2.93,31.0%,17.2%,197,14.5,7.7
Asian,584,28.9%,3.06,42.0%,14.4%,201,13.2,6.7
Mexican Am.,164,8.1%,3.03,39.6%,16.5%,199,13.8,8.0
Filipino,87,4.3%,2.90,28.7%,9.2%,199,13.4,8.8
Latino,46,2.3%,3.01,39.1%,10.9%,196,13.3,7.0
Native Am.,8,0.4%,3.16,25.0%,37.5%,202,13.3,7.0
Caucasian,834,41.2%,3.25,44.6%,30.2%,198,12.6,7.6
Other,270,13.4%,3.15,41.9%,22.2%,200,12.9,7.0
College
Revelle,229,11.3%,3.01,40.2%,9.6%,208,13.2,7.6
Muir,466,23.0%,3.20,42.3%,26.4%,198,12.8,7.3
Marshall,538,26.6%,3.13,42.2%,20.1%,196,12.9,7.3
Warren,420,20.8%,3.15,41.0%,25.2%,198,13.1,7.0
Roosevelt,369,18.2%,3.16,43.6%,23.0%,202,13.1,8.4
School Type
High School,1375,68.0%,3.18,43.5%,23.9%,202,13.0,--
2yr College,604,29.9%,3.06,38.9%,17.5%,195,--,7.3
4yr College/Univ.,37,1.8%,3.23,40.5%,27.0%,196,--,--
Unknown,6,0.3%,2.52,16.7%,0.0%,206,--,--
Total Social Sci.,2022,100.0%,3.14,42.0%,22.0%,199,13.0,7.3
