Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Male,1691,45.5%,3.07,57%,18%,208,13.5,9.0
Female,2022,54.5%,3.16,67%,23%,204,12.8,8.0
Ethnicity
African Am.,59,1.6%,2.83,34%,3%,197,14.1,10.6
Asian,1029,27.7%,3.06,56%,17%,208,13.2,9.1
Mexican Am.,293,7.9%,2.92,43%,9%,202,13.8,9.9
Filipino,193,5.2%,3.01,50%,10%,208,13.4,8.9
Latino,95,2.6%,3.10,64%,16%,204,13.1,8.4
Native Am.,34,0.9%,3.04,53%,15%,200,14.1,7.6
Caucasian,1550,41.7%,3.22,72%,27%,204,12.9,8.0
Other,460,12.4%,3.14,66%,21%,208,13.1,8.0
Disciplinary Area
Arts,214,5.8%,3.31,81%,31%,206,13.5,8.1
Humanities,273,7.4%,3.14,67%,19%,202,13.6,7.6
Engineering,540,14.5%,3.10,61%,18%,224,13.8,9.6
Science/Math,1029,27.7%,3.10,59%,23%,211,13.1,9.1
Social Science,1649,44.4%,3.11,62%,18%,197,12.8,7.8
Dbl/Special,8,0.2%,3.45,88%,38%,220,12.8,0.0
College
Revelle,650,17.5%,3.11,60%,22%,216,13.1,10.3
Muir,847,22.8%,3.14,65%,21%,203,12.9,8.1
Marshall,804,21.7%,3.11,63%,20%,200,13.2,8.1
Warren,968,26.1%,3.09,59%,20%,206,13.3,8.6
Roosevelt,444,12.0%,3.17,68%,21%,205,13.2,8.3
School Type
High School,2621,70.6%,3.16,68%,22%,205,13.1,NA
2yr College,1045,28.1%,3.02,53%,16%,207,NA,8.5
4yr College/Univ.,32,0.9%,3.05,56%,6%,210,NA,NA
Unknown,15,0.4%,2.53,13%,0%,207,NA,NA
Total Population,3713,100.0%,3.12,62%,20%,206,13.1,8.5

ART
Gender
Male,90,42.1%,3.22,76%,19%,201,14.1,8.1
Female,124,57.9%,3.37,80%,40%,210,13.1,8.1
Ethnicity
African Am.,2,0.9%,3.17,50%,50%,198,13.0,NA
Asian,53,24.8%,3.18,66%,21%,205,13.7,7.6
Mexican Am.,14,6.5%,3.12,64%,21%,207,14.9,10.0
Filipino,9,4.2%,3.23,78%,11%,203,13.5,6.0
Latino,6,2.8%,3.33,100%,17%,197,11.7,7.3
Native Am.,3,1.4%,3.38,100%,33%,215,13.5,7.0
Caucasian,103,48.1%,3.41,92%,39%,206,13.3,8.1
Other,24,11.2%,3.30,75%,33%,212,13.3,8.6
College
Revelle,11,5.1%,3.23,82%,9%,220,12.7,NA
Muir,61,28.5%,3.35,88%,33%,202,12.7,8.6
Marshall,54,25.2%,3.37,83%,44%,212,13.9,7.4
Warren,52,24.3%,3.23,75%,19%,201,13.3,8.2
Roosevelt,36,16.8%,3.27,75%,31%,210,14.4,9.0
School Type
High School,139,65.0%,3.28,79%,27%,205,13.5,NA
2yr College,73,34.1%,3.36,85%,38%,207,NA,8.1
4yr College/Univ.,0,0.0%,NA,NA,NA,NA,NA,NA
Unknown,2,0.9%,3.35,0%,100%,236,NA,NA
Total Arts,214,100.0%,3.30,82%,31%,206,13.5,8.1
Award Year
1999/2000,147,100%,3.26,75%,28%,205,13.4,8.4
1998/1999,156,100%,3.26,83%,23%,204,13.5,7.7
1997/1998,123,100%,3.28,84%,28%,210,13.6,8.4
1996/1997,168,100%,3.27,80%,29%,210,13.6,8.9
1995/1996,161,100%,3.25,75%,30%,211,13.2,9.4
1994/1995,145,100%,3.28,79%,27%,207,13.7,9.7
1993/1994,188,100%,3.22,75%,25%,210,14.1,9.2
