Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,2798,52.5%,3.15,42.5%,23.3%,209,12.7,7.4
Male,2527,47.5%,3.09,38.2%,20.4%,214,13.5,8.4
Ethnicity
African Am.,84,1.6%,3.03,42.9%,16.7%,210,13.6,8.4
Asian,2065,38.8%,3.08,39.2%,19.2%,213,13.0,7.9
Mexican Am.,451,8.5%,2.98,38.1%,11.8%,209,13.9,8.0
Filipino,243,4.6%,3.02,39.1%,15.2%,210,12.9,8.6
Latino,139,2.6%,3.08,47.5%,12.9%,210,13.3,7.5
Native Am.,27,0.5%,3.15,40.7%,22.2%,213,12.3,8.9
Caucasian,1657,31.1%,3.23,43.1%,29.8%,210,12.9,7.9
Other,659,12.4%,3.12,38.2%,22.9%,213,12.8,8.2
Disciplinary Area
Arts,249,4.7%,3.31,47.8%,33.7%,210,13.6,8.1
Humanities,260,4.9%,3.19,43.1%,25.4%,206,13.0,7.6
Engineering,747,14.0%,3.11,40.0%,20.7%,236,13.8,10.2
Science/Math,395,7.4%,3.10,41.0%,20.3%,219,13.6,8.2
Biology,1173,22.0%,3.13,40.1%,23.1%,215,12.9,7.9
Social Science,2499,46.9%,3.10,39.7%,20.5%,202,12.8,7.2
Dbl/Special,2,0.0%,3.27,100.0%,0.0%,211,11.5,--
College
Revelle,839,15.8%,3.09,38.7%,19.5%,221,13.1,9.2
Muir,1035,19.4%,3.18,40.8%,26.7%,12.9,7.7
Marshall,951,17.9%,3.13,44.1%,19.8%,205,12.9,7.9
Warren,1132,21.3%,3.09,37.0%,22.4%,209,13.2,7.7
Roosevelt,823,15.5%,3.12,40.8%,22.1%,213,13.1,8.7
Sixth,545,10.2%,3.12,43.1%,19.1%,213,13.2,7.3
School Type
High School,3546,66.6%,3.16,42.2%,24.1%,213,13.0,--
2yr College,1631,30.6%,3.03,36.2%,17.3%,207,--,7.9
4yr College/Univ.,108,2.0%,3.15,48.1%,18.5%,212,--,--
Unknown,40,0.8%,3.15,45.0%,25.0%,216,--,--
First Generation College Status
First Generation,1530,28.7%,3.02,39.9%,14.1%,209,13.3,8.0
Not First Generation,3795,71.3%,3.16,40.7%,25.1%,212,12.9,7.9
Income
High: > $98401,1144,21.5%,3.21,41.5%,29.3%,210,12.7,7.6
Medium High: $65601 - $98400,631,11.8%,3.16,42.9%,22.5%,211,12.7,7.8
Medium Low: $32801 - $65600,1045,19.6%,3.07,38.8%,18.2%,211,13.2,8.1
Low: < $32800,1080,20.3%,3.02,40.3%,13.6%,212,13.5,8.6
Missing/Undeclared,1425,26.8%,3.15,40.0%,24.8%,212,13.0,8.0
Total Population,5325,100.0%,3.12,40.4%,22.1%,211,13.0,7.9

Arts
Gender
Female,134,53.8%,3.38,52.2%,36.6%,211,13.3,7.6
Male,115,46.2%,3.23,42.6%,30.4%,208,13.9,8.7
Ethnicity
African Am.,3,1.2%,3.17,33.3%,33.3%,241,17.5,7.0
Asian,77,30.9%,3.18,48.1%,24.7%,205,13.2,8.5
Mexican Am.,20,8.0%,3.20,45.0%,25.0%,220,14.6,8.0
Filipino,10,4.0%,3.27,50.0%,20.0%,214,12.8,8.8
Latino,12,4.8%,3.37,75.0%,16.7%,215,14.3,6.3
Native Am.,0,0.0%,--,--,--,--,--,--
Caucasian,93,37.3%,3.40,48.4%,40.9%,210,13.9,7.9
Other,34,13.7%,3.42,38.2%,50.0%,208,12.7,9.0
College
Revelle,24,9.6%,3.14,50.0%,20.8%,218,13.8,9.3
Muir,56,22.5%,3.37,46.4%,39.3%,207,13.3,8.3
Marshall,26,10.4%,3.25,50.0%,26.9%,211,12.3,10.0
Warren,40,16.1%,3.32,42.5%,37.5%,208,13.0,7.4
Roosevelt,34,13.7%,3.15,41.2%,23.5%,212,16.0,9.5
Sixth,69,27.7%,3.41,53.6%,39.1%,208,12.9,7.1
School Type
High School,143,57.4%,3.26,47.6%,30.1%,209,13.6,--
2yr College,97,39.0%,3.39,46.4%,40.2%,210,--,8.1
4yr College/Univ.,6,2.4%,3.43,50.0%,33.3%,218,--,--
Unknown,3,1.2%,3.19,100.0%,0.0%,198,--,--
First Generation College Status
First Generation,62,24.9%,3.28,45.2%,35.5%,211,14.0,8.0
Not First Generation,187,75.1%,3.32,48.7%,33.2%,209,13.4,8.2
Income
High: > $98401,37,14.9%,3.37,51.4%,35.1%,207,13.0,8.6
Medium High: $65601 - $98400,29,11.6%,3.26,69.0%,17.2%,203,12.8,6.8
Medium Low: $32801 - $65600,51,20.5%,3.28,47.1%,31.4%,207,13.2,8.1
Low: < $32800,44,17.7%,3.17,34.1%,31.8%,213,14.4,8.6
Missing/Undeclared,88,35.3%,3.39,46.6%,40.9%,213,13.8,8.2
Total Arts,249,100.0%,3.31,47.8%,33.7%,210,13.6,8.1

Humanities
Gender
Female,154,59.2%,3.21,45.5%,26.6%,207,12.9,7.8
Male,106,40.8%,3.15,39.6%,23.6%,204,13.3,7.5
Ethnicity
African Am.,1,0.4%,2.94,0.0%,0.0%,187,--,7.0
Asian,37,14.2%,3.21,45.9%,27.0%,213,12.8,6.3
Mexican Am.,41,15.8%,3.02,34.1%,19.5%,207,15.7,7.5
Filipino,7,2.7%,3.02,57.1%,0.0%,195,11.5,6.3
Latino,11,4.2%,3.07,45.5%,9.1%,216,14.0,8.7
Native Am.,3,1.2%,2.98,0.0%,33.3%,189,9.0,9.5
Caucasian,130,50.0%,3.27,46.2%,30.0%,204,12.5,7.4
Other,30,11.5%,3.15,40.0%,23.3%,205,11.7,9.2
College
Revelle,25,9.6%,3.13,32.0%,24.0%,221,13.4,12.0
Muir,73,28.1%,3.29,42.5%,32.9%,203,11.9,7.1
Marshall,48,18.5%,3.28,41.7%,37.5%,204,13.3,7.5
Warren,52,20.0%,3.00,44.2%,11.5%,205,14.5,8.0
Roosevelt,43,16.5%,3.11,44.2%,18.6%,206,13.3,8.3
Sixth,19,7.3%,3.31,57.9%,21.1%,204,12.0,7.3
School Type
High School,154,59.2%,3.23,45.5%,29.2%,209,13.0,--
2yr College,99,38.1%,3.10,38.4%,19.2%,202,--,7.6
4yr College/Univ.,6,2.3%,3.36,50.0%,33.3%,204,--,--
Unknown,1,0.4%,3.07,100.0%,0.0%,195,--,--
First Generation College Status
First Generation,71,27.3%,3.03,47.9%,9.9%,204,14.2,6.8
Not First Generation,189,72.7%,3.25,41.3%,31.2%,207,12.5,7.9
Income
High: > $98401,54,20.8%,3.24,51.9%,27.8%,210,13.1,8.1
Medium High: $65601 - $98400,30,11.5%,3.25,46.7%,26.7%,208,11.9,8.0
Medium Low: $32801 - $65600,49,18.8%,3.18,28.6%,30.6%,206,12.8,8.5
Low: < $32800,48,18.5%,2.97,41.7%,12.5%,206,14.9,6.8
Missing/Undeclared,79,30.4%,3.26,45.6%,27.8%,202,11.8,7.4
Total Humanities,260,100.0%,3.19,43.1%,25.4%,206,13.0,7.6

Engineering
Gender
Female,138,18.5%,3.14,40.6%,23.2%,239,13.5,9.5
Male,609,81.5%,3.11,39.9%,20.2%,236,13.8,10.3
Ethnicity
African Am.,11,1.5%,3.06,18.2%,27.3%,235,12.3,13.4
Asian,303,40.6%,3.11,40.3%,19.1%,236,13.7,10.2
Mexican Am.,60,8.0%,2.94,41.7%,5.0%,234,14.8,9.6
Filipino,33,4.4%,2.93,27.3%,12.1%,227,13.3,11.5
Latino,13,1.7%,2.90,30.8%,15.4%,243,14.4,11.0
Native Am.,3,0.4%,3.11,33.3%,33.3%,239,--,12.0
Caucasian,223,29.9%,3.20,42.6%,26.0%,236,13.8,9.7
Other,101,13.5%,3.14,40.6%,25.7%,242,13.4,11.1
College
Revelle,141,18.9%,3.18,47.5%,19.9%,245,13.7,10.0
Muir,108,14.5%,3.19,37.0%,29.6%,237,13.6,10.2
Marshall,93,12.4%,3.14,39.8%,22.6%,233,13.0,11.2
Warren,239,32.0%,3.11,38.9%,22.2%,230,13.5,10.1
Roosevelt,69,9.2%,2.92,27.5%,11.6%,240,15.0,10.0
Sixth,97,13.0%,3.05,44.3%,13.4%,238,14.3,10.1
School Type
High School,479,64.1%,3.18,41.5%,24.0%,235,13.8,--
2yr College,248,33.2%,3.00,36.7%,16.1%,238,--,10.2
4yr College/Univ.,14,1.9%,3.04,57.1%,0.0%,244,--,--
Unknown,6,0.8%,2.78,16.7%,0.0%,251,--,--
First Generation College Status
First Generation,213,28.5%,3.00,39.9%,11.7%,232,14.0,9.9
Not First Generation,534,71.5%,3.16,40.1%,24.3%,238,13.7,10.4
Income
High: > $98401,158,21.2%,3.23,39.2%,31.6%,235,13.7,8.7
Medium High: $65601 - $98400,88,11.8%,3.12,40.9%,20.5%,235,13.3,10.4
Medium Low: $32801 - $65600,133,17.8%,3.08,35.3%,17.3%,236,14.1,10.2
Low: < $32800,143,19.1%,3.04,41.3%,14.0%,239,14.3,10.9
Missing/Undeclared,225,30.1%,3.10,42.2%,19.6%,236,13.5,10.3
Total Engineering,747,100.0%,3.11,40.0%,20.7%,236,13.8,10.2

Science/Math
Gender
Female,185,46.8%,3.08,40.0%,19.5%,218,13.2,7.7
Male,210,53.2%,3.11,41.9%,21.0%,220,14.0,8.6
Ethnicity
African Am.,5,1.3%,2.88,20.0%,40.0%,215,14.0,12.5
Asian,161,40.8%,3.05,39.8%,16.8%,219,13.7,7.7
Mexican Am.,27,6.8%,2.85,33.3%,3.7%,226,14.9,8.4
Filipino,19,4.8%,3.04,42.1%,15.8%,206,12.4,9.7
Latino,5,1.3%,3.18,80.0%,0.0%,214,13.5,7.3
Native Am.,3,0.8%,3.41,33.3%,33.3%,226,12.5,--
Caucasian,127,32.2%,3.22,43.3%,28.3%,219,13.4,8.5
Other,48,12.2%,3.09,41.7%,20.8%,223,13.3,8.2
College
Revelle,77,19.5%,3.14,48.1%,19.5%,227,13.5,8.1
Muir,86,21.8%,3.09,30.2%,26.7%,218,13.6,8.3
Marshall,52,13.2%,3.09,46.2%,15.4%,212,13.4,8.1
Warren,97,24.6%,3.09,37.1%,21.6%,216,14.1,7.7
Roosevelt,46,11.6%,3.12,50.0%,19.6%,220,13.3,10.2
Sixth,37,9.4%,3.01,43.2%,10.8%,223,13.2,7.8
School Type
High School,266,67.3%,3.14,42.9%,22.6%,223,13.6,--
2yr College,123,31.1%,2.99,36.6%,14.6%,210,--,8.2
4yr College/Univ.,2,0.5%,3.78,0.0%,100.0%,230,--,--
Unknown,4,1.0%,2.93,75.0%,0.0%,224,--,--
First Generation College Status
First Generation,129,32.7%,2.96,33.3%,14.0%,214,13.6,8.4
Not First Generation,266,67.3%,3.16,44.7%,23.3%,222,13.6,8.1
Income
High: > $98401,62,15.7%,3.19,46.8%,24.2%,217,13.4,7.9
Medium High: $65601 - $98400,51,12.9%,3.18,45.1%,27.5%,224,13.2,8.0
Medium Low: $32801 - $65600,84,21.3%,3.04,36.9%,20.2%,222,13.8,8.3
Low: < $32800,86,21.8%,3.02,43.0%,12.8%,216,13.8,7.9
Missing/Undeclared,112,28.4%,3.11,37.5%,20.5%,218,13.4,8.5
Total Science/Math,395,100.0%,3.10,41.0%,20.3%,219,13.6,8.2

Biology
Gender
Female,703,59.9%,3.13,41.7%,21.6%,215,12.8,7.8
Male,470,40.1%,3.14,37.7%,25.3%,215,13.0,8.0
Ethnicity
African Am.,10,0.9%,3.10,50.0%,20.0%,216,12.6,7.7
Asian,569,48.5%,3.14,40.1%,23.0%,217,12.9,7.8
Mexican Am.,61,5.2%,2.92,26.2%,13.1%,206,12.8,8.0
Filipino,70,6.0%,3.06,41.4%,18.6%,215,12.9,8.7
Latino,19,1.6%,2.90,26.3%,10.5%,213,13.1,8.9
Native Am.,6,0.5%,3.24,66.7%,16.7%,226,13.0,6.0
Caucasian,278,23.7%,3.25,43.5%,32.0%,213,12.7,7.7
Other,160,13.6%,3.04,38.8%,15.6%,214,12.8,8.3
College
Revelle,301,25.7%,3.12,38.5%,21.9%,218,12.6,8.5
Muir,197,16.8%,3.18,40.6%,27.9%,217,12.7,7.8
Marshall,212,18.1%,3.15,45.3%,21.7%,210,13.0,7.5
Warren,245,20.9%,3.12,35.5%,26.5%,210,12.7,7.6
Roosevelt,135,11.5%,3.11,44.4%,18.5%,221,13.4,8.8
Sixth,83,7.1%,3.08,37.3%,16.9%,221,13.2,7.7
School Type
High School,861,73.4%,3.19,43.1%,25.8%,218,12.9,--
2yr College,275,23.4%,2.94,31.3%,14.2%,207,--,7.9
4yr College/Univ.,26,2.2%,3.09,23.1%,26.9%,213,--,--
Unknown,11,0.9%,3.30,63.6%,27.3% ,203,--,--
First Generation College Status
First Generation,305,26.0%,3.02,38.0%,16.7%,214,13.1,8.2
Not First Generation,868,74.0%,3.17,40.8%,25.3%,215,12.8,7.8
Income
High: > $98401,280,23.9%,3.24,42.5%,31.1%,214,12.4,7.9
Medium High: $65601 - $98400,130,11.1%,3.16,42.3%,21.5%,214,12.6,8.0
Medium Low: $32801 - $65600,227,19.4%,3.06,42.3%,16.3%,214,13.1,8.4
Low: < $32800,255,21.7%,3.05,38.0%,17.3%,217,13.3,8.5
Missing/Undeclared,281,24.0%,3.15,36.7%,26.7%,215,12.9,7.4
Total Biology,1173,100.0%,3.13,40.1%,23.1%,215,12.9,7.9

Social Sciences
Gender
Female,1482,59.3%,3.15,42.2%,23.1%,202,12.5,7.1
Male,1017,40.7%,3.02,36.1%,16.7%,201,13.3,7.4
Ethnicity
African Am.,54,2.2%,3.01,50.0%,11.1%,202,13.7,6.9
Asian,918,36.7%,3.03,37.3%,16.4%,202,12.7,7.1
Mexican Am.,242,9.7%,2.99,40.9%,11.6%,201,13.6,7.4
Filipino,104,4.2%,2.99,38.5%,14.4%,202,12.9,8.1
Latino,78,3.1%,3.10,48.7%,14.1%,202,12.9,6.6
Native Am.,12,0.5%,3.11,41.7%,16.7%,202,12.2,5.0
Caucasian,806,32.3%,3.21,41.9%,28.9%,201,12.7,7.3
Other,285,11.4%,3.14,36.1%,23.2%,202,12.7,7.0
College
Revelle,271,10.8%,2.97,31.4%,16.2%,211,13.2,9.7
Muir,515,20.6%,3.15,42.5%,23.3%,200,12.7,7.1
Marshall,519,20.8%,3.10,43.9%,17.0%,198,12.8,7.2
Warren,458,18.3%,3.06,35.4%,20.5%,197,13.0,6.7
Roosevelt,496,19.8%,3.15,40.5%,25.0%,206,12.6,8.3
Sixth,240,9.6%,3.09,40.4%,17.5%,201,12.8,6.6
School Type
High School,1641,65.7%,3.13,41.0%,22.6%,204,12.8,--
2yr College,789,31.6%,3.02,36.1%,16.1%,196,--,7.2
4yr College/Univ.,54,2.2%,3.12,59.3%,13.0%,203,--,--
Unknown,15,0.6%,3.26,20.0%,46.7%,215,--,--
First Generation College Status
First Generation,750,30.0%,3.01,40.7%,12.4%,201,13.1,7.2
Not First Generation,1749,70.0%,3.13,39.3%,24.0%,202,12.7,7.2
Income
High: > $98401,552,22.1%,3.18,39.3%,28.1%,201,12.3,7.3
Medium High: $65601 - $98400,302,12.1%,3.14,40.4%,22.8%,201,12.6,7.2
Medium Low: $32801 - $65600,501,20.0%,3.04,38.5%,16.4%,202,13.0,7.2
Low: < $32800,504,20.2%,2.99,41.1%,10.3%,202,13.2,7.7
Missing/Undeclared,640,25.6%,3.13,39.5%,24.1%,201,12.9,7.0
Total Social Sciences,2499,100.0%,3.10,39.7%,20.5%,202,12.8,7.2
