Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,2847,53.3%,3.17,42.6%,24.3%,208,12.6,7.7
Male,2490,46.7%,3.10,40.0%,20.7%,214,13.3,8.4
Ethnicity
African Am.,55,1.0%,3.00,52.7%,7.3%,210,13.4,9.4
Asian,1933,36.2%,3.08,40.2%,17.7%,213,13.1,8.1
Mexican Am.,386,7.2%,2.99,36.5%,13.7%,206,13.5,8.7
Filipino,256,4.8%,3.02,33.2%,18.4%,208,13.0,8.4
Latino,127,2.4%,3.15,40.2%,26.8%,209,13.2,7.9
Native Am.,21,0.4%,3.30,23.8%,47.6%,217,12.8,10.4
Caucasian,1770,33.2%,3.25,43.2%,29.9%,209,12.8,7.8
Other,789,14.8%,3.17,45.0%,23.8%,212,12.3,8.2
Disciplinary Area
Arts,232,4.3%,3.35,46.6%,37.1%,213,13.8,8.5
Humanities,291,5.5%,3.25,45.4%,30.9%,211,12.7,8.1
Engineering,763,14.3%,3.12,39.6%,20.2%,235,13.7,10.2
Science/Math,360,6.7%,3.10,37.5%,23.6%,219,13.4,8.5
Biology,1113,20.9%,3.15,38.8%,24.0%,215,12.8,7.9
Social Science,2577,48.3%,3.12,42.6%,20.4%,201,12.7,7.5
Dbl/Special,1,0.0%,3.40,100.0%,0.0%,201,--,10.0
College
Revelle,854,16.0%,3.09,38.9%,19.8%,220,13.1,9.1
Muir,1031,19.3%,3.19,41.1%,27.4%,12.7,7.9
Marshall,1001,18.8%,3.12,41.5%,21.0%,206,13.1,8.1
Warren,1125,21.1%,3.11,39.9%,21.3%,210,12.9,8.2
Roosevelt,818,15.3%,3.17,43.8%,23.7%,211,12.9,8.1
Sixth,508,9.5%,3.17,45.1%,22.2%,211,12.9,7.0
School Type
High School,3567,66.8%,3.18,43.2%,24.8%,213,12.9,--
2yr College,1643,30.8%,3.04,37.1%,18.0%,206,--,8.1
4yr College/Univ.,81,1.5%,3.18,48.1%,19.8%,210,--,--
Unknown,46,0.9%,3.17,37.0%,28.3%,212,--,--
First Generation College Status
First Generation,1429,26.8%,3.05,40.8%,15.6%,209,13.1,8.3
Not First Generation,3908,73.2%,3.17,41.6%,25.2%,212,12.9,8.0
Income
High: > $98401,1192,22.3%,3.20,43.1%,25.8%,212,12.6,7.7
Medium High: $65601 - $98400,647,12.1%,3.15,43.6%,23.0%,211,12.9,8.0
Medium Low: $32801 - $65600,1006,18.8%,3.08,41.1%,17.7%,209,13.2,8.2
Low: < $32800,1006,18.8%,3.04,39.9%,16.2%,211,13.3,8.7
Missing/Undeclared,1486,27.8%,3.19,40.2%,27.6%,211,12.7,8.0
Total Population,5337,100.0%,3.14,41.4%,22.6%,211,12.9,8.1

Arts
Gender
Female,117,50.4%,3.39,40.2%,43.6%,214,13.3,7.9
Male,115,49.6%,3.30,53.0%,30.4%,212,14.5,8.9
Ethnicity
African Am.,3,1.3%,2.89,66.7%,0.0%,206,16.0,9.0
Asian,65,28.0%,3.28,50.8%,26.2%,217,14.0,8.5
Mexican Am.,14,6.0%,3.24,64.3%,21.4%,210,14.3,8.4
Filipino,13,5.6%,3.40,38.5%,53.8%,205,13.0,8.4
Latino,7,3.0%,3.02,42.9%,14.3%,224,14.2,13.0
Native Am.,2,0.9%,3.71,0.0%,100.0%,190,--,5.5
Caucasian,100,43.1%,3.42,40.0%,48.0%,213,14.0,8.1
Other,28,12.1%,3.35,57.1%,28.6%,210,11.6,9.4
College
Revelle,21,9.1%,3.15,71.4%,4.8%,223,15.4,10.0
Muir,62,26.7%,3.44,35.5%,53.2%,213,13.7,8.4
Marshall,25,10.8%,3.26,44.0%,32.0%,209,15.4,8.6
Warren,38,16.4%,3.28,63.2%,21.1%,213,13.6,9.3
Roosevelt,30,12.9%,3.21,33.3%,30.0%,222,14.0,11.8
Sixth,56,24.1%,3.46,46.4%,48.2%,206,12.5,7.2
School Type
High School,127,54.7%,3.27,47.2%,28.3%,216,13.8,--
2yr College,102,44.0%,3.44,45.1%,48.0%,210,--,8.5
4yr College/Univ.,2,0.9%,3.26,50.0%,50.0%,210,--,--
Unknown,1,0.4%,3.42,100.0%,0.0%,204,--,--
First Generation College Status
First Generation,52,22.4%,3.26,57.7%,25.0%,213,13.8,9.7
Not First Generation,180,77.6%,3.37,43.3%,40.6%,213,13.8,8.1
Income
High: > $98401,47,20.3%,3.42,36.2%,51.1%,220,13.9,7.4
Medium High: $65601 - $98400,32,13.8%,3.38,40.6%,43.8%,214,13.4,9.1
Medium Low: $32801 - $65600,41,17.7%,3.25,58.5%,22.0%,209,13.7,7.9
Low: < $32800,41,17.7%,3.21,56.1%,17.1%,215,14.3,9.8
Missing/Undeclared,71,30.6%,3.41,43.7%,45.1%,209,13.4,8.8
Total Arts,232,100.0%,3.35,46.6%,37.1%,213,13.8,8.5

Humanities
Gender
Female,174,59.8%,3.30,46.0%,33.9%,214,12.7,8.4
Male,117,40.2%,3.19,44.4%,26.5%,204,12.8,7.9
Ethnicity
African Am.,2,0.7%,2.81,0.0%,0.0%,202,--,6.5
Asian,47,16.2%,3.19,46.8%,25.5%,224,13.5,8.7
Mexican Am.,29,10.0%,3.12,55.2%,13.8%,202,13.9,8.6
Filipino,16,5.5%,3.09,50.0%,12.5%,208,12.3,11.1
Latino,7,2.4%,3.26,57.1%,28.6%,206,14.3,8.0
Native Am.,2,0.7%,3.34,100.0%,0.0%,266,--,11.0
Caucasian,146,50.2%,3.32,42.5%,37.0%,210,12.4,7.7
Other,42,14.4%,3.26,42.9%,38.1%,203,12.2,7.1
College
Revelle,28,9.6%,3.24,53.6%,25.0%,216,12.5,19.0
Muir,72,24.7%,3.28,48.6%,34.7%,211,12.7,8.2
Marshall,53,18.2%,3.19,52.8%,20.8%,205,12.6,7.4
Warren,49,16.8%,3.19,28.6%,34.7%,206,12.9,8.0
Roosevelt,68,23.4%,3.31,44.1%,35.3%,216,12.9,9.3
Sixth,21,7.2%,3.30,47.6%,28.6%,211,12.6,7.3
School Type
High School,178,61.2%,3.32,49.4%,34.3%,215,12.7,--
2yr College,102,35.1%,3.14,38.2%,25.5%,202,--,8.1
4yr College/Univ.,5,1.7%,3.40,40.0%,40.0%,219,--,--
Unknown,6,2.1%,3.15,50.0%,16.7%,207,--,--
First Generation College Status
First Generation,66,22.7%,3.19,47.0%,28.8%,208,14.0,7.1
Not First Generation,225,77.3%,3.27,44.9%,31.6%,211,12.4,8.5
Income
High: > $98401,74,25.4%,3.28,54.1%,25.7%,211,12.5,8.0
Medium High: $65601 - $98400,34,11.7%,3.26,50.0%,29.4%,213,13.1,9.9
Medium Low: $32801 - $65600,49,16.8%,3.23,38.8%,28.6%,209,13.3,7.7
Low: < $32800,39,13.4%,3.17,48.7%,25.6%,215,13.6,8.3
Missing/Undeclared,95,32.6%,3.28,38.9%,38.9%,209,12.0,7.8
Total Humanities,291,100.0%,3.25,45.4%,30.9%,211,12.7,8.1

Engineering
Gender
Female,159,20.8%,3.08,34.0%,19.5%,236,13.3,10.8
Male,604,79.2%,3.13,41.1%,20.4%,234,13.8,10.1
Ethnicity
African Am.,6,0.8%,2.82,50.0%,0.0%,229,12.8,13.0
Asian,319,41.8%,3.08,41.1%,16.9%,236,13.7,10.6
Mexican Am.,51,6.7%,2.88,37.3%,3.9%,229,14.4,10.1
Filipino,28,3.7%,2.85,28.6%,7.1%,228,13.8,11.3
Latino,12,1.6%,3.13,58.3%,16.7%,237,14.6,9.0
Native Am.,3,0.4%,3.25,33.3%,33.3%,228,13.5,9.0
Caucasian,223,29.2%,3.22,42.2%,26.0%,233,13.7,9.9
Other,121,15.9%,3.19,32.2%,28.9%,238,13.3,9.5
College
Revelle,125,16.4%,3.09,45.6%,12.8%,244,14.0,10.9
Muir,106,13.9%,3.20,37.7%,29.2%,236,13.6,10.2
Marshall,113,14.8%,3.12,41.6%,20.4%,232,13.8,10.8
Warren,254,33.3%,3.10,35.8%,21.3%,228,13.2,10.1
Roosevelt,69,9.0%,3.06,43.5%,15.9%,242,14.8,9.2
Sixth,96,12.6%,3.13,38.5%,19.8%,236,13.7,8.1
School Type
High School,516,67.6%,3.16,40.3%,23.1%,234,13.7,--
2yr College,232,30.4%,3.01,38.4%,13.8%,236,--,10.2
4yr College/Univ.,9,1.2%,3.20,22.2%,22.2%,235,--,--
Unknown,6,0.8%,3.17,50.0%,16.7%,232,--,--
First Generation College Status
First Generation,205,26.9%,3.03,40.0%,13.7%,232,13.8,10.6
Not First Generation,558,73.1%,3.15,39.4%,22.6%,236,13.7,10.0
Income
High: > $98401,173,22.7%,3.14,41.0%,20.8%,238,13.5,10.7
Medium High: $65601 - $98400,80,10.5%,3.13,46.3%,15.0%,237,13.6,9.5
Medium Low: $32801 - $65600,140,18.3%,3.06,37.9%,16.4%,233,14.5,10.2
Low: < $32800,124,16.3%,3.03,38.7%,15.3%,233,14.1,11.2
Missing/Undeclared,246,32.2%,3.17,37.8%,26.0%,234,13.1,9.7
Total Engineering,763,100.0%,3.12,39.6%,20.2%,235,13.7,10.2

Science/Math
Gender
Female,159,20.8%,3.08,34.0%,19.5%,236,13.3,10.8
Male,604,79.2%,3.13,41.1%,20.4%,234,13.8,10.1
Ethnicity
African Am.,6,0.8%,2.82,50.0%,0.0%,229,12.8,13.0
Asian,319,41.8%,3.08,41.1%,16.9%,236,13.7,10.6
Mexican Am.,51,6.7%,2.88,37.3%,3.9%,229,14.4,10.1
Filipino,28,3.7%,2.85,28.6%,7.1%,228,13.8,11.3
Latino,12,1.6%,3.13,58.3%,16.7%,237,14.6,9.0
Native Am.,3,0.4%,3.25,33.3%,33.3%,228,13.5,9.0
Caucasian,223,29.2%,3.22,42.2%,26.0%,233,13.7,9.9
Other,121,15.9%,3.19,32.2%,28.9%,238,13.3,9.5
College
Revelle,125,16.4%,3.09,45.6%,12.8%,244,14.0,10.9
Muir,106,13.9%,3.20,37.7%,29.2%,236,13.6,10.2
Marshall,113,14.8%,3.12,41.6%,20.4%,232,13.8,10.8
Warren,254,33.3%,3.10,35.8%,21.3%,228,13.2,10.1
Roosevelt,69,9.0%,3.06,43.5%,15.9%,242,14.8,9.2
Sixth,96,12.6%,3.13,38.5%,19.8%,236,13.7,8.1
School Type
High School,516,67.6%,3.16,40.3%,23.1%,234,13.7,--
2yr College,232,30.4%,3.01,38.4%,13.8%,236,--,10.2
4yr College/Univ.,9,1.2%,3.20,22.2%,22.2%,235,--,--
Unknown,6,0.8%,3.17,50.0%,16.7%,232,--,--
First Generation College Status
First Generation,205,26.9%,3.03,40.0%,13.7%,232,13.8,10.6
Not First Generation,558,73.1%,3.15,39.4%,22.6%,236,13.7,10.0
Income
High: > $98401,173,22.7%,3.14,41.0%,20.8%,238,13.5,10.7
Medium High: $65601 - $98400,80,10.5%,3.13,46.3%,15.0%,237,13.6,9.5
Medium Low: $32801 - $65600,140,18.3%,3.06,37.9%,16.4%,233,14.5,10.2
Low: < $32800,124,16.3%,3.03,38.7%,15.3%,233,14.1,11.2
Missing/Undeclared,246,32.2%,3.17,37.8%,26.0%,234,13.1,9.7
Total Engineering,763,100.0%,3.12,39.6%,20.2%,235,13.7,10.2

Biology
Gender
Female,652,58.6%,3.14,38.2%,23.6%,215,12.8,7.7
Male,461,41.4%,3.16,39.7%,24.5%,216,12.8,8.2
Ethnicity
African Am.,6,0.5%,3.17,50.0%,16.7%,225,12.3,--
Asian,499,44.8%,3.10,35.9%,21.8%,217,13.0,7.6
Mexican Am.,47,4.2%,2.99,21.3%,21.3%,210,14.0,8.2
Filipino,64,5.8%,3.09,29.7%,25.0%,212,12.4,7.9
Latino,20,1.8%,3.22,35.0%,40.0%,219,12.7,9.2
Native Am.,6,0.5%,3.17,16.7%,33.3%,206,13.0,6.0
Caucasian,282,25.3%,3.25,42.9%,28.7%,213,12.7,7.9
Other,189,17.0%,3.16,48.7%,21.2%,215,12.2,8.3
College
Revelle,303,27.2%,3.13,37.6%,21.8%,219,12.8,8.1
Muir,172,15.5%,3.23,38.4%,30.8%,215,12.3,7.6
Marshall,202,18.1%,3.11,35.1%,22.8%,210,12.8,8.0
Warren,240,21.6%,3.15,39.2%,24.6%,214,12.9,8.0
Roosevelt,130,11.7%,3.16,41.5%,23.8%,217,13.1,7.8
Sixth,66,5.9%,3.15,50.0%,18.2%,215,12.8,7.3
School Type
High School,827,74.3%,3.21,41.0%,27.3%,218,12.8,--
2yr College,267,24.0%,2.96,30.7%,15.0%,207,--,7.9
4yr College/Univ.,16,1.4%,3.07,56.3%,6.3%,207,--,--
Unknown,0.3%,3.11,66.7%,0.0%,229,--,--
First Generation College Status
First Generation,285,25.6%,3.05,36.8%,15.4%,215,13.1,8.3
Not First Generation,828,74.4%,3.18,39.5%,26.9%,215,12.7,7.7
Income
High: > $98401,264,23.7%,3.25,43.9%,28.0%,214,12.3,7.5
Medium High: $65601 - $98400,141,12.7%,3.11,38.3%,23.4%,217,12.8,7.7
Medium Low: $32801 - $65600,211,19.0%,3.07,39.8%,17.5%,216,13.2,7.8
