Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,3244,52.9%,3.18,42.0%,25.2%,212,12.8,7.5
Male,2893,47.1%,3.12,40.4%,21.0%,215,13.3,8.1
Ethnicity
African Am.,84,1.4%,3.00,38.1%,11.9%,205,13.8,8.2
Asian,2418,39.4%,3.08,39.7%,18.0%,213,13.0,7.7
Mexican Am.,509,8.3%,3.03,38.3%,15.1%,209,13.7,7.7
Filipino,244,4.0%,3.03,40.6%,13.9%,214,13.0,8.5
Latino,175,2.9%,3.09,42.3%,17.7%,209,13.0,8.2
Native Am.,29,0.5%,3.12,37.9%,17.2%,206,13.8,7.4
Caucasian,1551,25.3%,3.23,45.5%,27.1%,210,12.9,7.7
Other,1127,18.4%,3.30,40.5%,36.6%,222,12.7,8.1
Disciplinary Area
Arts,256,4.2%,3.39,45.7%,42.2%,215,13.3,8.5
Humanities,260,4.2%,3.30,47.7%,31.2%,209,12.8,7.2
Engineering,818,13.3%,3.13,40.7%,20.8%,236,13.6,9.7
Science/Math,413,6.7%,3.10,38.7%,22.8%,226,13.4,8.8
Biology,1483,24.2%,3.15,41.3%,23.7%,218,12.9,8.4
Social Science,2906,47.4%,3.12,40.8%,21.4%,203,12.8,7.1
Dbl/Special,1,0.0%,3.79,0.0%,100.0%,213,--,11.0
College
Revelle,881,14.4%,3.11,41.1%,19.8%,222,13.1,9.0
Muir,1135,18.5%,3.20,40.4%,27.9%,13.0,7.9
Marshall,1110,18.1%,3.14,40.2%,23.2%,207,12.9,7.5
Warren,1152,18.8%,3.14,38.7%,24.3%,214,13.0,7.9
Roosevelt,945,15.4%,3.15,40.8%,23.9%,213,12.8,7.8
Sixth,914,14.9%,3.14,47.4%,18.7%,212,13.1,7.5
School Type
High School,3975,64.8%,3.19,43.1%,25.3%,217,13.0,--
2yr College,2048,33.4%,3.07,37.4%,19.5%,206,--,7.8
4yr College/Univ.,104,1.7%,3.17,47.1%,20.2%,214,--,--
Unknown,10,0.2%,2.88,30.0%,0.0%,208,--,--
First Generation College Status
First Generation,1776,28.9%,3.06,40.1%,16.2%,211,13.2,7.9
Not First Generation,4361,71.1%,3.18,41.7%,26.1%,214,12.9,7.8
Income
High: > $98401,1356,22.1%,3.23,42.8%,29.6%,213,12.7,7.4
Medium High: $65601 - $98400,694,11.3%,3.14,39.8%,24.4%,213,13.0,8.2
Medium Low: $32801 - $65600,1177,19.2%,3.10,43.6%,17.7%,214,13.1,7.9
Low: < $32800,1248,20.3%,3.04,38.5%,14.7%,213,13.4,8.3
Missing/Undeclared,1662,27.1%,3.20,41.0%,28.0%,213,12.7,7.7
Total Population,6137,100.0%,3.15,41.3%,23.2%,213,13.0,7.8

Arts
Gender
Female,142,55.5%,3.45,40.8%,50.0%,216,13.2,8.4
Male,114,44.5%,3.33,51.8%,32.5%,214,13.4,8.6
Ethnicity
African Am.,3,1.2%,3.53,33.3%,66.7%,196,8.0,6.5
Asian,71,27.7%,3.28,59.2%,25.4%,210,12.9,6.6
Mexican Am.,33,12.9%,3.33,33.3%,39.4%,213,14.6,7.8
Filipino,14,5.5%,3.34,57.1%,35.7%,231,13.4,9.5
Latino,4,1.6%,3.52,50.0%,50.0%,201,13.3,7.0
Native Am.,1,0.4%,3.69,0.0%,100.0%,184,12.0,--
Caucasian,101,39.5%,3.47,40.6%,52.5%,215,13.4,8.9
Other,29,11.3%,3.45,41.4%,48.3%,227,12.9,9.4
College
Revelle,13,5.1%,3.23,46.2%,23.1%,236,14.1,--
Muir,57,22.3%,3.45,50.9%,42.1%,212,13.1,9.6
Marshall,34,13.3%,3.43,35.3%,52.9%,213,12.4,6.5
Warren,37,14.5%,3.27,51.4%,27.0%,221,15.2,9.1
Roosevelt,34,13.3%,3.34,47.1%,41.2%,221,13.0,9.3
Sixth,81,31.6%,3.45,43.2%,48.1%,210,13.2,7.9
School Type
High School,152,59.4%,3.34,51.3%,34.2%,217,13.3,--
2yr College,103,40.2%,3.47,37.9%,54.4%,213,--,8.5
4yr College/Univ.,0,0.0%,--,--,--,--,--,--
Unknown,1,0.4%,2.90,0.0%,0.0%,207,--,--
First Generation College Status
First Generation,67,26.2%,3.33,53.7%,31.3%,210,13.8,8.8
Not First Generation,189,73.8%,3.42,42.9%,46.0%,217,13.1,8.4
Income
High: > $98401,54,21.1%,3.41,48.1%,44.4%,221,13.0,8.3
Medium High: $65601 - $98400,34,13.3%,3.37,47.1%,41.2%,215,13.5,10.0
Medium Low: $32801 - $65600,52,20.3%,3.33,44.2%,38.5%,211,13.5,8.1
Low: < $32800,40,15.6%,3.21,62.5%,12.5%,205,13.8,8.9
Missing/Undeclared,76,29.7%,3.53,35.5%,59.2%,220,12.3,8.3
Total Arts,256,100.0%,3.39,45.7%,42.2%,215,13.3,8.5

Humanities
Gender
Female,155,59.6%,3.34,47.7%,35.5%,210,12.6,7.1
Male,105,40.4%,3.23,47.6%,24.8%,206,13.3,7.4
Ethnicity
