Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender,,,,,,,,
Female,3123,52.00%,3.2,40.20%,28.00%,214,12.9,7.7
Male,2878,48.00%,3.12,39.20%,22.90%,218,13.4,8.5
Ethnicity,,,,,,,,
African Am.,108,1.80%,3.09,41.70%,17.60%,216,13.5,8.7
Asian,2488,41.50%,3.1,41.20%,19.80%,215,13.2,7.6
Mexican Am.,573,9.50%,3.03,36.80%,14.30%,212,13.7,8.5
Filipino,235,3.90%,3.03,35.30%,14.50%,215,13.4,8.3
Latino,199,3.30%,3.08,35.70%,22.60%,214,13.6,8.7
Native Am.,25,0.40%,3.25,56.00%,20.00%,210,11.6,8.5
Caucasian,1296,21.60%,3.24,40.40%,31.20%,213,12.9,8.4
Other,1077,17.90%,3.34,37.90%,42.00%,224,12.6,8.5
Disciplinary Area,,,,,,,,
Arts,206,3.40%,3.42,39.80%,46.60%,213,13.7,7.8
Humanities,170,2.80%,3.3,37.60%,37.60%,211,13.3,8.5
Engineering,1063,17.70%,3.16,43.10%,23.30%,237,13.5,9.8
Science/Math,626,10.40%,3.12,36.30%,24.10%,223,13.1,8.4
Biology,1060,17.70%,3.22,39.40%,30.00%,221,13,8.8
Social Science,2873,47.90%,3.13,39.40%,22.80%,205,12.9,7.5
Dbl/Special,3,0.00%,3.5,66.70%,33.30%,202,12,8
College,,,,,,,,
Revelle,919,15.30%,3.12,35.60%,23.60%,224,13.3,8.8
Muir,1011,16.80%,3.2,39.90%,28.50%,214,12.9,8
Marshall,1118,18.60%,3.15,38.70%,25.80%,209,13.1,7.7
Warren,1032,17.20%,3.16,39.20%,25.50%,219,13,8.6
Roosevelt,975,16.20%,3.17,42.20%,24.50%,214,13.3,8
Sixth,946,15.80%,3.18,42.60%,25.30%,215,13,8.1
School Type,,,,,,,,
High School,3623,60.40%,3.2,41.20%,27.80%,220,13.1,--
2yr College,2262,37.70%,3.1,37.00%,21.90%,208,--,8.1
4yr College/Univ.,108,1.80%,3.26,48.10%,29.60%,216,--,--
Unknown,8,0.10%,2.89,12.50%,12.50%,217,--,--
First Generation College Status,,,,,,,,
First Generation,2021,33.70%,3.09,38.50%,19.50%,214,13.5,8
Not First Generation,3980,66.30%,3.2,40.30%,28.60%,217,12.9,8.2
Income,,,,,,,,
High: > $98401,1516,25.30%,3.24,41.40%,30.80%,215,12.8,7.6
Medium High: $65601 - $98400,602,10.00%,3.17,40.20%,25.40%,216,12.9,7.9
Medium Low: $32801 - $65600,1133,18.90%,3.15,39.00%,24.40%,217,13.2,8
Low: < $32800,1362,22.70%,3.06,39.20%,17.60%,216,13.5,8.3
Missing/Undeclared,1388,23.10%,3.19,38.60%,28.60%,214,12.8,8.6
Total Population,6001,100.00%,3.16,39.70%,25.60%,216,13.1,8.1
,,,,,,,,
Arts,,,,,,,,
Gender,,,,,,,,
Female,111,53.90%,3.47,36.90%,54.10%,214,13.6,7.7
Male,95,46.10%,3.35,43.20%,37.90%,212,13.9,7.9
Ethnicity,,,,,,,,
African Am.,6,2.90%,3.36,33.30%,50.00%,215,12.5,7.7
Asian,64,31.10%,3.31,45.30%,34.40%,215,13.9,7.7
Mexican Am.,20,9.70%,3.45,30.00%,50.00%,209,14.9,7.1
Filipino,12,5.80%,3.28,58.30%,25.00%,216,21,9.4
Latino,14,6.80%,3.32,50.00%,35.70%,211,13,9.2
Native Am.,1,0.50%,3.86,0.00%,100.00%,181,--,5
Caucasian,60,29.10%,3.53,30.00%,63.30%,214,12.3,7.5
